Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Grid,Op Status,Coverage,Sponsor,EchoLink,Coordination,Last update,YSF Digital Enabled,DG-ID,WIRES-X,Features,IRLP,Notes,Downlink Tone,On-air,Affiliate,Web links,AllStar,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Central Regional,Links,Commands,Bandwidth,Mixed-Mode,Northern Colorado Regional,Feed,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local/Cluster,Colorado,REACT,CO-Park County,Local Network,TAC 310,TAC 311,Colorado Chat,Southern Colorado,Eastern Colorado,Devilshead Local,Talkgroup Network,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,DCI Bridge,N. Colorado,Mountain Reg USA,Worldwide English,North America,Location Photo,Worldwide,English
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,77.51,NW,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,Washington,,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,2018-11-02,,,,,,Part of the Colorado Connection system of repeaters,123,,,,,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,,80.8,SE,,20,4100,38.78499985,-100.92099762,444.3,449.3,141.3,Logan,DM98MS,On-Air,,SKECT,,Kansas Repeater Council,2018-07-12,,,,E-power.,,,141.3,,,http://skect.org/default.aspx,,,,,,,,,,,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,81.99,W,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,123,Elbert,DM89CI,On-Air,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,3349,CCARC,2014-09-02,,,,Full duplex node.,3349,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",123,,,,,,,,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,CC 162.2,W0CTS,Lamar,CO,OPEN,,D,82.62,S,Static Talkgroups: 3108 - Colorado - Slot 1 3740 - REACT - Slot 1,08,18386,38.12810135,-102.53199768,449.2,444.2,162.2,Prowers,,On-Air,,,,,2019-12-21,,,,TS1 TG3108 Colorado TS1 TG31083 Co Severe Wx TS2 not networked/local,,,162.2,,,https://brandmeister.network/?page=repeater&amp;id=311409,,,yes,1,311409,BrandMeister c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,141.3,K0ECT,Syracuse,KS,OPEN,,,82.81,SSE,,20,4086,38.17499924,-101.76100159,444,449,141.3,Hamilton,DM98CE,On-Air,,SKECT,,Kansas Repeater Council,2018-07-12,,,,E-power.,,,141.3,,,http://skect.org/default.aspx,,,,,,,,,,,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,82.92,WSW,,08,7395,38.85200119,-103.69999695,449.9,444.9,107.2,Lincoln,DM88DU,On-Air,,,,CCARC,2012-07-20,,,,,,,,,BSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,123,N0LAR,Lamar,CO,OPEN,EI,,86.32,SSW,ON - IDLE,08,171,38.08720016,-102.62000275,449.5,444.5,123,Prowers,DM-88,On-Air,45,Lamar ARC,37784,CCARC,2019-12-29,,,,Linked full time to 146.610 (N0LAR) repeater,3774,,123,,,http://www.qrz.com/db/n0lar,,NWS net: Daily 12:15pm,,,,,,,,,"Full-time to 146.61000 (N0LAR) at Lamar, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,88.34,N,,08,163,40.58440018,-102.30200195,146.955,146.355,,Phillips,,,,PCARC,,CCARC,2012-11-10,,,,E-power.,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0LAR,Lamar,CO,OPEN,EI,,89.5,SSW,ON - IDLE,08,3794,38.03689957,-102.59999847,146.61,146.01,123,Prowers,DM-88,On-Air,Hwy 287 - Springfield to Eads Hwy 50 - Holly to Rocky Ford. 45 mi radius.,Lamar Amateur Radio Club,37784,CCARC,2019-12-29,,,,,3774,,123,,,http://www.qrz.com/db/n0lar,,NWS Net 12:15pm daily,,,,,,,,,"Full-time to 449.50000 (N0LAR) at Lamar, CO .",,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,141.3,WA0OQA,Scott City,KS,OPEN,A,Y,89.64,SE,,20,3940,38.48460007,-100.97899628,146.7,146.1,141.3,Scott,DM98,On-Air,"Scott, Finney and Kearny counties",Sand Hills ARC,,Kansas Repeater Council,2018-09-16,yes,Open ↑ / Open ↓,,E-power.,,Comet GP-6 @ 125'.,141.3,,,,48589,Tue at 20:30.,,,,,,,,,"Full-time to 146.91000 (WA0OQA) at Garden City, KS .",,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,,,92.1,SE,,20,6463,38.48089981,-100.9240036,444.95,449.95,100,Scott,DM98ML,Off-Air,Click for coverage map. 35 mi radius.,SHARC,,Kansas Repeater Council,2019-07-27,,,,Internet Linked to K-Link Repeater Network.,,,100,,,http://ks0lnk.net,,,,,,,,,,,Full-time internet linked to the K-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,,KB0CKE,Syracuse,KS,OPEN,,,95.73,SSE,,20,3947,37.98059845,-101.75299835,146.775,146.175,,Hamilton,,On-Air,Local. 20 mi radius.,KB0CKE,,Kansas Repeater Council,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,97.57,W,,08,12167,39.22669983,-104.08999634,147.105,147.705,107.2,Elbert,DM79WF,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.",ARES of Douglas and Elbert Counties,,CCARC,2020-02-11,,,,Linked to CRA 448.425 - WestCreek,,,107.2,,Colorado Repeater Association,http://www.w0cra.org/,,,,,,,,,,,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KB0DZB,Oberlin,KS,OPEN,,,99.3,E,,20,3907,39.8321991,-100.53399658,145.19,144.59,,Decatur,DM99RT,Off-Air,Local,TRI-STATE.,,Kansas Repeater Council,2020-03-07,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,103.83,NNW,,08,238,40.62559891,-103.20700073,145.295,144.695,100,Logan,,On-Air,Wide area,NECARA,,CCARC,2020-01-17,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,104.24,NW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,Morgan,,On-Air,,,,CCARC,2019-11-27,,,,Mixed Mode,,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,,NEAHR,Rocky Mountain Ham Radio,,,yes,7,310812,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,,Full-time to the Colorado TRBO System .,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.5,5,151.4,N7UVW,McCook,NE,OPEN,,,106.84,NE,,31,15122,40.19670105,-100.625,444.5,449.5,151.4,Frontier,,On-Air,20,dirt,,,2017-12-26,,,,link comm rlc 1,,16,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,162.2,N7UVW,McCook,NE,OPEN,,,106.84,NE,,31,15136,40.19670105,-100.625,444.8,449.8,162.2,Red Willow,,On-Air,50,N7UVW,,,2017-12-26,,,,Link Com RLC-1 Controller,,180,,,Dirt Truckin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,,K0TAJ,"McCook, 180' tower S. of McCook",NE,OPEN,,,107.13,NE,,31,39,40.20529938,-100.62599945,147.27,147.87,,Red Willow,,On-Air,50,McCook ARA,,,2017-12-26,,,,Fusion Repeater,,,,,,,,Monday Nights at 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,156.7,N0OMC,Lakin,KS,OPEN,,,109.13,SSE,,20,3967,37.93579865,-101.26399994,146.985,146.385,156.7,Kearney,DM97IW,On-Air,"Kearny, Finney and Scott Counties",N0OMC,,Kansas Repeater Council,2018-09-16,,,,E-power,,Linked full time to the Garden City 146.910 and Scott City 146.700 repeaters,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,,111.75,SE,,20,4046,38.16400146,-100.8010025,442.5,447.5,141.3,Finney,DM98OD,On-Air,,SKECT,,Kansas Repeater Council,2018-07-12,,,,E-power.,3885,,141.3,,,http://skect.org/default.aspx,,,,,,,,,,,Full-time to the SKECT System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,,KC0ITF,"La Junta, North La Junta",CO,PRIVATE,W,Y,113.02,SW,,08,167,37.99950027,-103.52899933,147.36,147.96,,Otero,DM87FX,On-Air,La Junta: U.S. Route 50 CO State Hwy 10 CO State Hwy 109 CO State Hwy 194 U.S. Route 350,,,,2018-09-30,yes,Open ↑ / Open ↓,11360,E-power,,Digital Wires-X,123,,KC0ITF,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,,119.07,SE,,20,3959,37.97169876,-100.8730011,146.91,146.31,141.3,Finney,,On-Air,"Finney, Scott and Kearney counties.",Sand Hills ARC,,Kansas Repeater Council,2018-09-16,,,,E-power.,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,141.3,,,,48588,Tue at 20:30.,,,,,,,,,"Full-time to 146.70000 (WA0OQA) at Scott City, KS .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,162.2,N0KOM,"Lenora, K-Link",KS,OPEN,A,,123.21,ESE,,20,3956,39.57300186,-99.98600006,146.88,146.28,162.2,Norton,EM09AN,On-Air,Click for coverage map. 50 mi radius.,N0KOM,,Kansas Repeater Council,2020-03-07,,,,"e-power, K-Link.",,,162.2,,,K-Link Repeater Network,49527,Sat @ 21:00 local,,,,,,,,,Full-time to the K-Link System .,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,123.81,W,,08,14732,39.53910065,-104.56900024,927.7375,902.025,100,Douglas,DM79RM,On-Air,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,CCARC,2020-01-01,,,,,,,100,,,,,,,,,,,,,,Full-time to the The 900 P25 Network System .,,,Yes; analog capable.,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KD0MDP,"Falcon, Black Forest",CO,OPEN,EIA,,126.59,W,ON - IDLE,08,13294,39.04370117,-104.60800171,447.625,442.625,100,El Paso,,On-Air,,KD0MDP,363976,,2015-06-02,,,,Linked.,7301,,100,,The Fun Machine,,28299,,,,,,,,,,Full-time to the The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,,128,SE,,20,15311,38.10279846,-100.46399689,52.87,51.17,141.3,Finney,DM98SC,On-Air,30,SHARC,,Kansas Repeater Council,2019-03-18,,,,,,200,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,151.4,,Falcon,CO,OPEN,,Y,128.06,W,,08,13790,38.93299866,-104.60900116,447.2,442.2,,El Paso,,Testing,"Falcon, Black Forest, Peyton Areas",GGARC,,,2015-11-11,yes,Open ↑ / Open ↓,,,,,,,Garden of the Gods Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,128.7,W,,08,11473,39.39350128,-104.67500305,446.85,441.85,,Douglas,DM79PJ,On-Air,,Parker Radio Association,,CCARC,2018-03-18,,,,D-Star B module,,,,,,http://parkerradio.org,,,,,,,,,,,,,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,129.19,NNE,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,Keith,,On-Air,,Charlie Allen,751985,,2015-07-09,,,,,7349,Linked to 146.940 in North Platte and 442.250 south of North Platte,,,,,,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.7,5,162.2,N0NM,"Hill City, K-Link",KS,OPEN,A,,130.27,ESE,,20,11236,39.26570129,-99.83360291,443.7,448.7,162.2,Graham,EM09BG,On-Air,Click for coverage map. 45 mi radius.,"N0NM, N0KOM",,Kansas Repeater Council,2019-05-06,,,,E-power.,,Use PL 131.8 for WesKan Intertie Use PL 162.2 for K-Link,,,Western Kansas Inter-Tie K-Link Repeater Network,K-Link Repeater Network,46425,,,,,,,,,,Linkable to the K-Link System . Linkable to the Western Kansas Intertie System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,130.37,W,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,Douglas,,On-Air,,Parker Radio Association,,CCARC,2019-11-27,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,Mixed Mode,,,,http://www.parkerradio.org,,Mondays 20:30 MST,yes,1,310844,None c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.575,5,162.2,K0HAM,"Ransom, K-Link",KS,OPEN,,,131.01,SE,,20,4075,38.63100052,-99.98999786,443.575,448.575,162.2,Ness,EM08AP,On-Air,Click for coverage map. 40 mi radius.,N7JYS,,Kansas Repeater Council,2019-08-02,,,,,,,162.2,,K-Link Repeater Network,K-Link Repeater Network,,K-Link: Saturdays 21:00 local,,,,,,,,,"Full-time to 442.45000 (N7JYS) at Hays, K-Link, KS . Full-time to the K-Link System .",,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.95,-5,,,Black Forest,CO,OPEN,,SY,131.47,W,,08,17551,39.04850006,-104.7009964,448.95,443.95,,El Paso,,,This repeater covers most of Black Forest and various areas of Monument and Colorado Springs,N0PKT,,,2019-01-08,yes,Open ↑ / Open ↓,,e-power,,,,Unknown,K0JSC,http://www.k0jsc.com,,Primarily on NXDN: All Nets carried on the K0JSC.COM Fun Machine system,,,,,,,,,,,,,,,,,,yes,(B) Repeater,jfindu lookup / dstar-users lookup,yes,1,6.25,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.09,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,,,132.46,S,,08,8174,37.40829849,-102.61399841,147.09,147.69,118.8,Baca,,,,BCDEARC,,CCARC,2012-11-12,,,,,,,118.8,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,132.46,S,Node Offline,08,6093,37.40829849,-102.61399841,147.33,147.93,118.8,Baca,,Off-Air,,Baca County Amateur Emergency Management,97142,CCARC,2018-03-12,,,,,7142,,118.8,,,KZ0DEM Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,118.8,KZ0DEM,Springfield,CO,OPEN,EI,,132.46,S,Node Offline,08,4588,37.40829849,-102.61399841,449.2,444.2,118.8,Baca,,On-Air,provides coverage to central Baca County,Baca County Div of Emerg Mgt Communications,97142,,2011-08-21,,,,,7142,,118.8,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,133.51,W,,08,5,39.6072998,-104.74099731,145.4,144.8,100,Arapahoe,,On-Air,Greater Denver area.,Castle Rock Repeater Group,,CCARC,2019-03-09,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC,KZ0DEM,Vilas,CO,OPEN,,D,133.8,S,,08,17522,37.37469864,-102.4469986,446.7625,441.7625,,Baca,,,Baca County,Southeast Colorado REACT,,,2019-11-27,,,,,,TS1​ 310815 - Fun Machine Link - Static,,Unknown,,http://www.secahr.com/southeast-colorado-react.html,,,yes,7,310841,RMHAM c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Local/Cluster 2 2 Full-Time Central Regional 2 720 Full-Time Colorado 2 3108 Full-Time REACT 2 3740 Full-Time CO-Park County 2 31081 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,133.84,W,,08,18248,39.51860046,-104.76100159,446.9,441.9,,Arapahoe,,On-Air,Small coverage area in Parker,Parker Radio Association,,,2019-11-03,yes,Open ↑ / Open ↓,40895,Linked to the Colorado Mega digital system,,,,,,https://www.parkerradio.org,,Monday nights 8pm mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,133.84,W,,08,17696,39.51860046,-104.76100159,448.05,443.05,,Douglas,,,,,,,2019-11-27,,,,,,,,Unknown,,,,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,134.62,W,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,151.4,Arapahoe,DM79OP,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",N0OBA,10079,,2018-02-01,,,,Autopatch (please contact trustee).,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott",131.8,,,,,"""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,135.52,WNW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,Weld,DN70,On-Air,,K0EB,448035,CCARC,2018-12-01,,,,,8035,,114.8,,K0UPS Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
