Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Downlink Tone,Affiliate,D-STAR Enabled,Node,Sources,EchoLink,IRLP,On-air,Features,Coverage,AllStar,Commands,Links,Grid,Nets,Web links,Notes,DMR Enabled,Color Code,DMR ID,Wide Network,Location Photo,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Central Regional,Northern Colorado Regional,P-25 Digital Enabled,NAC,Default Reflector,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Feed,Data,DMRX 1,Utah Statewide 2,Local/Cluster,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,YSF Digital Enabled,DG-ID,Mixed-Mode,Local Network,Devilshead Local,Bandwidth,Eastern Colorado,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Colorado,Colorado Chat
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,0,W,,08,8175,39.0639,-108.551,147.105,147.705,,Mesa,On-Air,K0SSI,CCARC,2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,0,W,,08,8206,39.0639,-108.551,449,444,,Mesa,On-Air,KB0SW,CCARC,2015-08-03,107.2,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,0,W,,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,On-Air,,,2014-08-16,,,yes,KD0RED (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,0,W,ON - IDLE,08,11793,39.06389999,-108.5510025,449.775,444.775,173.8,Mesa,On-Air,,CCARC,2015-10-25,88.5,,,,,7572,7573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,0,W,,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,,KE0TY,CCARC,2012-11-12,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,0.01,S,,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,,KC0ARV,CCARC,2012-11-10,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,0.05,ESE,,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,,KE0TY,CCARC,2012-11-10,,,,,,,,Unknown,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,0.05,ESE,,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,On-Air,,CCARC,2019-02-12,,,,,,,,,,Wide area: North Western Colorado - South to Montrose and East on I-70.,43554,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,1.11,SW,,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,On-Air,Colorado Connection,CCARC,2017-01-06,123,,,,,,,,,,,,Full-time to the Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,4,NNE,,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,On-Air,,CCARC,2016-05-11,,,,,,,3161,,"E-power,",Greater grand Junction area.,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,107.2,W0RRZ,"Grand Junction, Black Ridge (Above Colorado Ntl Monument)",CO,OPEN,,,10.57,W,,08,151,39.06560135,-108.7480011,146.94,146.34,107.2,Mesa,On-Air,Western Colorado Amateur Radio Club,CCARC,2016-05-11,107.2,,,,,,,,E-power and autopatch for WCARC members,Grand Junction 30-50 mi,,,,DM59PB,Oatmeal Net: Mon-Fri at 7:30AM-8:00AM,http://w0rrz.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.575,-5,131.8,WA4HND,"Grand Junction, Black Ridge",CO,OPEN,I,,10.57,W,,08,155,39.0656,-108.748,449.575,444.575,131.8,Mesa,On-Air,,CCARC,2018-01-15,131.8,Grand Mesa Repeater Assoc,,,,,3710,,e-power. Linked to GMRA Open System,Grand Junction,,,,,Wed RACES Net 1930 Hrs,GMRA Repeaters,Closed IRLP out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.2,-5,107.2,,Glade Park,CO,OPEN,,,11.69,WSW,,08,18392,38.97999954,-108.73999786,449.2,444.2,107.2,Mesa,On-Air,GMRA,,2019-12-22,,,,,,,,,Solar Powered,,,,,,,http://www.gmra.org/repeaters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,11.77,SSE,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,On-Air,,CCARC,2016-04-22,,,,,,312189,7963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,15.95,ESE,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,On-Air,,CCARC,2018-01-16,107.2,,,,,,3710,,e-power Linked to GMRA Open System,Wide Area I-70 West Rifle to Western Utah,,,,,RACES Wed 1930 hrs,http://www.gmra.org/,Closed IRLP out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,17.47,ESE,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,On-Air,Bill Frost,,2018-01-09,,,,,,,,,,"Grand Junction, I70",,,,,,,Brandmeister network,yes,1,310868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,31.39,ESE,,08,3755,38.9944,-107.973,447.35,442.35,107.2,Delta,,Grand Mesa Repeater Assoc (GMRA),CCARC,2012-11-10,,,,,,,,Unknown,,,,,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,32.94,ESE,,08,8763,39.0666,-107.937,449.65,444.65,151.4,Mesa,On-Air,Keri Washburn,CCARC,2016-10-28,151.4,,,,,,8162,,NWS weather alert system.,Wide area coverage,,11,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,32.99,ESE,,08,149,39.06669998,-107.93599701,145.355,144.755,88.5,Mesa,On-Air,Colorado Connection,CCARC,2017-01-06,123,,,,,,,,E-power.,"Rifle to the east, several miles east of Green River, Utah to the west.",,,Full-time to the Colorado Connection System .,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,33.89,E,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),CCARC,2016-07-01,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
