Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Sponsor,Affiliate,Links,Coordination,Last update,On-air,Features,Coverage,EchoLink,Web links,Notes,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,IRLP,AllStar,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,YSF Digital Enabled,DG-ID,Mixed-Mode,Local Network,Wyoming,WyLOCAL,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Rocky Mountain Wide,Feed,Location Photo,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide English,DCI Bridge,Colorado,N. Colorado,TAC 310,Devilshead Local,WIRES-X,Bandwidth,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On
146.97,-0.6,88.5,KB0VJJ,Craig,CO,OPEN,,,38.26,NNE,,08,15577,40.51520157,-107.54599762,146.97,146.37,88.5,123,Moffat,DN60FM,On-Air,Northwest Colorado Amateur Radio Association,Colorado Connection,Full-time to the Colorado Connection System .,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.265,-0.6,107.2,WD0HAM,Craig,CO,OPEN,,,38.26,NNE,,08,3740,40.51520157,-107.54599762,145.265,144.665,107.2,,Moffat,,,NW Colorado ARC,,,CCARC,2012-11-12,Unknown,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,39.62,S,Node Offline,08,200,39.47449875,-107.77200317,146.76,146.16,107.2,,Garfield,DM69cl,Off-Air,"N0SWE, Roaring Fork Amateur Repeater Cooperative",,,CCARC,2015-06-03,,E-power.,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,41.13,S,,08,253,39.45190048,-108.05200195,449.8,444.8,107.2,,Garfield,,On-Air,,,,CCARC,2018-01-15,,8,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.02,-1.6,,KI0G,Glenwood Springs,CO,CLOSED,,,45.9,SE,,08,8181,39.55049896,-107.32499695,224.02,222.42,,,Garfield,,,SCARC,,,CCARC,2012-11-12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,,KI0G,Glenwood Springs,CO,CLOSED,,,45.9,SE,,08,8192,39.55049896,-107.32499695,447.6,442.6,,,Garfield,,,Ski Country ARC (SCARC),,"Full-time to 146.88000 (KI0G) at Glenwood Springs, Sunlight Peak, CO .",CCARC,2012-11-12,Unknown,50,40,,,Link Hub for 146.880.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,131.8,WA4HND,"Glenwood Springs, Lookout Mountain",CO,OPEN,,,45.9,SE,,08,13637,39.55049896,-107.32499695,449.85,444.85,131.8,131.8,Garfield,,On-Air,,Grand Mesa Repeater Assoc,Full-time to the GMRA Open System .,CCARC,2018-01-15,,e-power Linked to GMRA Open System,Glenwood Springs,,http://GMRA.org,RACES net Wed 1930 Hrs Local,Colorado State RACES Wed 1930 local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,107.2,K0VQ,"Glenwood Springs, Three Mile Ridge",CO,OPEN,E,,45.93,SE,Node Offline,08,131,39.55059814,-107.3239975,147.3,147.9,107.2,,Garfield,,Off-Air,Roaring Fork Amateur Repeater Cooperative,,,CCARC,2012-11-10,,8,"Wide area: Glenwood Springs, Glenwood Canyon, South Canyon, Carbondale and surrounding areas.",266359,,Single beep courtesy tone when linked and none when unlinked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.2625,-5,CC,N0SZ,"Rangely, Cathedral Bluffs",CO,OPEN,,D,47.3,W,,08,17249,40.08750153,-108.80500031,445.2625,440.2625,,,Rio Blanco,,On-Air,RMHAM,,,,2019-11-27,,,,,https://www.rmham.org,,,yes,7,310154,RMHAM c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,50.84,SE,,08,129,39.42639923,-107.37999725,146.85,146.25,88.5,123,Garfield,DM69HK,On-Air,Colorado Connection,,,CCARC,2016-05-23,,70,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",,,Part of the Colorado Connection System of Repeaters,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
