Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Links,Notes,Nets,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Affiliate,Web links,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,On-air,Grid,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,IRLP,EchoLink,Bandwidth,Talkgroup Network,Worldwide English,North America,DCI Bridge,Local/Cluster,Colorado,N. Colorado,Commands,TAC 310,Mountain Reg USA,Local Network,Central Regional,Mixed-Mode,AllStar,Feed,Worldwide,English,P-25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Wyoming,WyLOCAL,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Location Photo
145.295,-0.6,100,WA0JTB,"Sterling, CO",CO,OPEN,,,0.05,ESE,,08,238,40.62559891,-103.20700073,145.295,144.695,100,Logan,On-Air,Wide area,NECARA,"Autopatch, e-power.",CCARC,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,88.5,KB0VJJ,Akron,CO,OPEN,,,32.13,S,,08,2,40.16059875,-103.21399689,145.4,144.8,88.5,Washington,On-Air,Northeastern plains of Colorado.,Colorado Connection,,CCARC,2018-11-02,123,Full-time to the Colorado Connection System .,Part of the Colorado Connection system of repeaters,Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.175,-5,CC,W0FT,Akron,CO,OPEN,,D,32.13,S,,08,16784,40.16049957,-103.21399689,448.175,443.175,,Morgan,On-Air,,W0FT,,CCARC,2019-11-27,,,,,yes,7,310833,RMHAM c Record retrieved from radioid.net,,Rocky Mountain Ham Radio,http://www.rmham.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,CC,W0FT,"Fort Morgan, Fort Morgan EOC",CO,OPEN,,D,40.51,SW,,08,10783,40.25030136,-103.80000305,448.2,443.2,,Morgan,On-Air,,,Mixed Mode,CCARC,2019-11-27,,Full-time to the Colorado TRBO System .,"See the website for more info on Time Slot, Talk Group and Color Code Programming.",,yes,7,310812,RMHR c Record retrieved from radioid.net,,NEAHR,Rocky Mountain Ham Radio,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Northern Colorado Regional 2 721 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.955,-0.6,,N0JUN,Holyoke,CO,OPEN,,,47.61,ESE,,08,163,40.58440018,-102.30200195,146.955,146.355,,Phillips,,,PCARC,E-power.,CCARC,2012-11-10,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,,66.19,NNW,,31,58,41.49000168,-103.75499725,147,146.4,103.5,Banner,On-Air,,Tri-City Radio Amateur Club,,,2017-09-07,,,,,,,,,,,,,,,,DN81CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,,71.76,NW,,56,28,41.4178009,-104.09799957,147.165,147.765,114.8,Laramie,On-Air,,Shy-Wy Amateur Radio Club,E-power.,WRCG,2017-01-04,,"Full-time to 147.10500 (KC7SNO) at Cheyenne, North Park, WY . Full-time to 146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,114.8,WB7GR,"Scottsbluff, Stage Hill",NE,OPEN,,,78.28,NNW,,31,110,41.70100021,-103.68099976,444.125,449.125,114.8,Scotts Bluff,On-Air,Wide area,SBCEMA,Linked to Albin (147.165) and Cheyenne (146.775),,2018-12-02,114.8,,,,,,,,,,,,,,,DN81DQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,79.86,W,,08,156,40.40359879,-104.69999695,146.85,146.25,100,Weld,On-Air,,Northern Colorado ARC,"E-power, WX.",CCARC,2017-05-08,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,80.01,W,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,Weld,On-Air,,K0OJ,"Autopatch, WX.",CCARC,2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,80.06,W,,08,8210,40.4233017,-104.70899963,449.325,444.325,,Weld,On-Air,,Colorado Amateur Repeater Network (CARN),,CCARC,2012-11-12,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,80.07,W,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,Weld,On-Air,,,,,2020-02-17,,,,,yes,2,,c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,82.7,WSW,,08,157,40.26119995,-104.70600128,147,147.6,,Weld,On-Air,,Weld ARS,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",CCARC,2019-05-06,,,,Tuesday Night club net,,,,,,,,,,,,DN70PG,,,,yes,Open ↑ / Open ↓,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,82.7,WSW,,08,158,40.26119995,-104.70600128,448.475,443.475,100,Weld,On-Air,,Weld Amateur Radio Society (WARS),,CCARC,2019-05-06,,,,,,,,,,,http://www.warsco.org/,,,,,DN70PG,,,,,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,123,N0UGO,Ogallala,NE,OPEN,EI,,85.15,E,ON - In Conference IRLP 0082,31,11025,41.12820053,-101.72000122,146.76,146.16,123,Keith,On-Air,,Charlie Allen,,,2015-07-09,,,Linked to 146.940 in North Platte and 442.250 south of North Platte,Sun at 19:30. Wed at 20:00.,,,,,,,,,,,,,,,,,,7349,751985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,114.8,K0EB,Hudson,CO,OPEN,EI,,86.35,WSW,Node Offline,08,8216,40.02019882,-104.64199829,449.925,444.925,114.8,Weld,On-Air,,K0EB,,CCARC,2018-12-01,114.8,,,,,,,,,K0UPS Club,,,,,,DN70,,,,,,8035,448035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,131.8,N7JJY,"Cheyenne, Chalk Bluffs",WY,OPEN,,Y,86.95,WNW,,56,34,41.02740097,-104.78399658,449.3,444.3,,Laramie,On-Air,"Laramie county wy, Northern Weld and Larimer County, CO",WU7G,,WRCG,2019-06-02,,,,,,,,,,,,,,,,DN71OA,,,,yes,Open ↑ / Open ↓,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,123,,Scottsbluff,NE,OPEN,,,89.01,NNW,,31,18469,41.86660004,-103.66699982,147.375,147.975,123,Scotts Bluff,On-Air,,,,,2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,89.13,W,,08,8188,40.58100128,-104.90599823,447.2,442.2,82.5,Weld,On-Air,,N6RFI,,CCARC,2017-03-11,,,,,,,,,,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,90.15,W,"Rick KT0L Repeater Ft Collins, CO (Limited coverage)",08,10995,40.59379959,-104.9260025,446.775,441.775,,Larimer,On-Air,"Fort Collins east side, into Red Feather Lakes area.",W0DMR - NoCo C-bridge Network,,CCARC,2019-11-27,,,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,yes,2,310806,NoCO c Record retrieved from radioid.net,,Brandmeister Network,W0DMR,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,DN70MO,,,,,,,,,BrandMeister US,1,1,1,2,2,2,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.445,0,88.5,AG0N,Scottsbluff,NE,OPEN,I,,90.19,NNW,,31,11355,41.90399933,-103.55799866,146.445,146.445,88.5,Scotts Bluff,On-Air,,,,,2015-03-16,88.5,,This is a simplex IRLP node. 147.285 rptr is down. 3055 is directly accessed on 146.445 w/88.5 tone. Controlled access. Contact AG0N for access. 147.435/123PL Scottsbluff node 8930 available 24/7 no access code.,,,,,,,,http://garymcduffie.com,,,,,,,,,,,3055,,,,,,,,,,Access pre-fix = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,90.21,WSW,,08,9771,40.00719833,-104.71600342,447.625,442.625,100,Adams,On-Air,Local/North Metro,Intermountain Repeater Group,,,2015-05-23,,,,,,,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.825,5,100,W0KAV,Scottsbluff,NE,OPEN,,,90.33,NNW,,31,111,41.88710022,-103.66400146,444.825,449.825,100,Scotts Bluff,On-Air,,W0KAV/KW0R,"Autopatch, e-power.",,2020-01-05,,,,,,,,,,,,,,,,DN81EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,CSQ,WD0BQM,Scottsbluff,NE,OPEN,,,90.33,NNW,,31,57,41.88710022,-103.66400146,145.475,144.875,CSQ,Scotts Bluff,On-Air,,RWMC,e-power.,,2018-12-02,,,,,,,,,,,,,,,,DN81EV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.775,-0.6,114.8,KC7SNO,"Cheyenne, Denver Hill",WY,OPEN,,,90.94,WNW,,56,27,41.12390137,-104.81900024,146.775,146.175,114.8,Laramie,On-Air,,Shy-Wy Amateur Radio Club,"E-power, WX.",WRCG,2017-01-04,,"Full-time to 147.16500 (KC7SNO) at Albin, WY .",,Weather Net: Daily at 06:45. Shy-WY ARC: Sun at 07:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,91.27,W,,08,12562,40.54460144,-104.94400024,147.39,147.99,,Larimer,On-Air,"Fort Collins east side, into Red Feather Lakes area.",KT0L - NoCo C-Bridge Network,,CCARC,2019-11-27,,,,Tac 310 Net: Sun at 18:00.,yes,2,310822,NoCO c Record retrieved from radioid.net,,,Documentation,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,,,,,1,2,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.235,-0.6,131.8,KB7SWR,Cheyenne,WY,OPEN,,,91.41,WNW,,56,19,41.13999939,-104.81999969,145.235,144.635,131.8,Laramie,On-Air,Local: Cheyenne.,N7GT,,WRCG,2019-10-23,,"Full-time to 448.15000 (KB7SWR) at Cheyenne, WY .",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,91.5,KC7SNO,"Cheyenne, North Park",WY,OPEN,,,91.41,WNW,,56,26,41.13999939,-104.81999969,147.105,147.705,91.5,Laramie,On-Air,,ShyWyArc,,WRCG,2019-02-15,91.5,,,,,,,,,,,,,,,DN71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,100,N7JJY,Cheyenne,WY,OPEN,,,91.41,WNW,,56,15518,41.13999939,-104.81999969,449.9,444.9,100,Laramie,On-Air,From 5 miles to 25 miles,N7JJY,,,2017-01-04,100,,To be used as a portable repeater for ARES/RACES or as needed for specific needs of the Amateur Community in Laramie County or other areas as needed. Repeater will be on when needed otherwise offline.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,CC,WY7EOC,Cheyenne,WY,OPEN,,D,91.41,WNW,,56,10803,41.13999939,-104.81999969,449.975,444.975,,Laramie,On-Air,,WY7EOC,,WRCG,2020-02-27,,,See the website for TG/TS/CC programming info and link status/info,,yes,11,315601,WyDMR c Record retrieved from radioid.net,,Laramie County Emergency Management/WY7EOC,,,,,,,,,,,,,,,,,,,,,,,,,Wyoming DMR Project,,,,,,,,,,,,,,,,,,,,,,,,,,,
