Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Coordination,Last update,Coverage,Features,Nets,Web links,EchoLink,IRLP,Grid,Affiliate,Notes,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Commands,Links,YSF Digital Enabled,DG-ID,Downlink Tone,Mixed-Mode,AllStar,P-25 Digital Enabled,NAC,Default Reflector,Local Network,WIRES-X,Feed,On-air,Talkgroup Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Central Regional,Northern Colorado Regional,Worldwide,North America,English,TAC 310,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Colorado,Mountain Reg USA,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Bandwidth,Eastern Colorado,TAC 311,Colorado Chat,Wyoming,WyLOCAL,Location Photo
1299.5,-20,,W0DK,Boulder,CO,OPEN,,S,11.73,NW,,08,8221,40.01499939,-105.27100372,1299.5,1279.5,,Boulder,On-Air,Boulder County ARES,CCARC,2012-11-12,,E-power.,,,,,,,,,,,,,yes,W0DK (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,11.89,S,,08,17349,39.75059891,-105.1230011,448.35,443.35,,Jefferson,On-Air,Denver Water Amateur Radio Club (DWARC),CCARC,2018-10-02,Denver Metro and surrounding,,,http://www.DWARC.com,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,11.9,S,,08,9775,39.75049973,-105.1230011,147.21,147.81,100,Jefferson,On-Air,Denver Water Amateur Radio Club,,2020-01-23,,,,http://www.dwarc.com,,3241,DM79KS,,,,,,,,,,,,,,,,,,,,100,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,91.5,K0DK,Boulder,CO,OPEN,E,,12.54,NW,Node Offline,08,15,40.05709839,-105.24299622,146.73,146.13,91.5,Boulder,Off-Air,BARC,CCARC,2017-05-02,Local,12,,http://www.ked-wireless.com/products1.htm,115482,,DN70jb,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,12.59,SSE,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,100,Denver,On-Air,W0JRL,CCARC,2015-05-15,,,,,201712,,DM79MS,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,100,,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.125,-5,107.2,N0PYY,Golden,CO,OPEN,,,13.43,SSW,,08,143,39.75559998,-105.22100067,448.125,443.125,107.2,Jefferson,On-Air,Denver PD EEB,CCARC,2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,123,W0GV,Golden,CO,OPEN,A,,13.43,SSW,,08,137,39.75559998,-105.22100067,448.975,443.975,123,Jefferson,On-Air,FRG,CCARC,2019-09-06,Wide area.,Linkable VHF/UHF Remote Base,,,,,,,,,,,,,,,,,,,,,,,,,,,42845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7875,-25,156.7,N0PYY,Golden,CO,OPEN,,,13.44,SSW,,08,7170,39.75550079,-105.22100067,927.7875,902.7875,156.7,Jefferson,On-Air,N0PYY,,2017-12-24,Golden and Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,13.67,SSE,,08,75,39.73920059,-104.98400116,145.475,144.875,100,Jefferson,On-Air,Intermountain Repeater Group,CCARC,2015-05-22,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",E-power.,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,13.67,SSE,,08,79,39.73920059,-104.98400116,146.715,146.115,123,Denver,On-Air,EARS,CCARC,2017-04-09,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,13.67,SSE,,08,91,39.73920059,-104.98400116,448.075,443.075,123,Denver,On-Air,W0IG,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,13.67,SSE,,08,93,39.73920059,-104.98400116,448.55,443.55,82.5,Denver,Off-Air,HPRA,CCARC,2017-03-11,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,13.75,SSE,,08,8196,39.73759842,-104.98500061,447.925,442.925,100,Denver,On-Air,RADOPS El Jebel Shriners,CCARC,2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,13.75,SSE,,08,8195,39.73759842,-104.98500061,447.9,442.9,CSQ,Denver,Off-Air,WB0TPT,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,13.75,SSE,,08,8212,39.73759842,-104.98500061,449.65,444.65,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,13.75,SSE,,08,8213,39.73759842,-104.98500061,449.675,444.675,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),CCARC,2012-11-16,,,,,,7708,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,14.3,S,,08,5805,39.71620178,-105.12999725,447.825,442.825,D073,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,,,,DM79KR,,Now operating in Narrow Band mode with Digital Code Squelch. Please reset your programing to use: 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,15.04,S,,08,8204,39.70460129,-105.1230011,448.75,443.75,100,Jefferson,Off-Air,,CCARC,2019-08-23,Local.,E-power.,,,,,DM79KQ,N0ELY,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.975,-25.9,67,W0SKY,"Golden, Lookout Mountain",CO,OPEN,A,,15.19,SSW,,08,18156,39.7333,-105.237,927.975,902.0375,67,Jefferson,On-Air,,,2019-10-05,"Denver, Golden",AllStar,,http://www.w0sky.com,,,,,,,,,,,,,,,,,,,Standard AllStar,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC,WA2YZT,"Golden, Lookout",CO,OPEN,,D,15.22,SSW,,08,3753,39.73049927,-105.23200226,446.8375,441.8375,,Jefferson,On-Air,WA2YZT,CCARC,2019-11-27,,200,,,,,DM79JR,,See website for more info on CC/TS/TG programming. www.rmham.org,,,,,,,,,yes,7,310802,RMHR c Record retrieved from radioid.net,,,Full-time to the Colorado TRBO System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,D,15.23,SSW,,08,10939,39.73070145,-105.23300171,145.37,144.77,,Jefferson,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,,700,,Rocky Mountain Ham Radio,,,DM79JR,,See the website for programming information. Voice ID is required for data/GPS/text on TG 705,,,,,,,,,yes,7,310808,RMHR c Record retrieved from radioid.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,15.24,SSW,,08,3739,39.73049927,-105.23300171,145.25,144.65,,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,Colorado D-Star,,,DM79JR,,,,,,,,yes,W0CDS (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,15.24,SSW,,08,2769,39.73049927,-105.23300171,446.9625,441.9625,,Jefferson,On-Air,Colorado D-Star,CCARC,2017-03-11,,,,Colorado D-Star,,,DM79JR,,,,,,,,yes,W0CDS (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,15.24,SSW,,08,3751,39.73049927,-105.23300171,1283.9625,1263.9625,,Jefferson,On-Air,Colorado D-Star,CCARC,2014-01-03,,,,Colorado D-Star,,,DM79JR,,,,,,,,yes,W0CDS (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,S,15.24,SSW,,08,8222,39.73049927,-105.23300171,1299.9,1299.9,,Jefferson,On-Air,Colorado D-Star,,2014-01-03,,,,Colorado D-Star,,,,,,,,,,,yes,W0CDS (A) DVAP 24/7,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,KE0VH,"Golden, Lookout Mountain",CO,OPEN,,Y,15.26,SSW,,08,139,39.733,-105.239,449.625,444.625,141.3,Jefferson,On-Air,,CCARC,2019-06-19,,E-power,,,,,,,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,141.3,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,15.93,SSW,,08,105,39.70080185,-105.1780014,53.09,51.39,107.2,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,Metro Denver area.,E-power.,,DRC Repeaters,,,DM79JQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,16.17,SW,,08,265,39.7772,-105.328,449.75,444.75,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,,8,,Repeater,,,,,,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,16.17,SW,,08,134,39.7772,-105.328,224.74,223.14,88.5,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,,e-power,ARA: Wed at 2000.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,16.17,SW,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,Jefferson,On-Air,Rocky Mtn Radio League,CCARC,2016-12-23,Wide area.,8,,Repeater,,,,,Talk-Group of $FFFF.,,,,,,,,,,,,,,,,,,103.5,Yes; analog capable.,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,16.21,SW,,08,136,39.7772,-105.329,448.85,443.85,88.5,Jefferson,On-Air,Aurora Repeater Assoc,CCARC,2016-01-17,"Denver metro, central front range",e-power.,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,,,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,16.21,SW,,08,86,39.7772,-105.329,224,222.4,103.5,Jefferson,On-Air,Rocky Mountain Radio League,CCARC,2017-03-11,,8,,Repeater,,,,,,,,,,,,,,,,,,,,,,,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,16.21,SW,,08,133,39.7772,-105.329,147.15,147.75,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),CCARC,2016-01-17,"Denver metro, central front range",e-power,ARA: Wed at 20:00.,ARA Repeaters,,,,,,,,,,,,,,,,,,,,"Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,16.73,S,,08,85,39.68220139,-105.14299774,147.33,147.93,100,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-31,Metro Denver and the foothills.,E-power.,SATERN: Thu at 19:30.,DRC Repeaters,,,,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,16.73,S,,08,267,39.68220139,-105.14299774,224.38,222.78,100,Jefferson,On-Air,Denver Radio Club,CCARC,2017-03-11,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,CSQ,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,16.73,S,,08,8215,39.68220139,-105.14299774,449.775,444.775,,Jefferson,On-Air,Denver Radio Club,CCARC,2019-09-06,Metro Denver,Yaesu Digital Only,,Denver Radio Club,,,DM79KQ,,"YSF digital only, no analog FM",,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.525,-5,151.4,N0EPA,Longmont,CO,OPEN,E,,17.06,N,ON - IDLE,08,176,40.16719818,-105.10099792,448.525,443.525,151.4,Boulder,On-Air,N0EPA,CCARC,2019-06-19,,,,,223853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,100,W0ENO,Longmont,CO,OPEN,,,17.06,N,,08,175,40.16719818,-105.10099792,147.27,147.87,100,Boulder,On-Air,Longmont ARC (LARC),CCARC,2017-03-11,Wide area: Northern Colorado.,"Closed autopatch, e-power, EchoLink.",,http://w0eno.org/?q=node/11,,,,,,,,,,,,,,,,,,,,"Linkable to 448.80000 (W0ENO) at Longmont, CO .",,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.8,-5,88.5,W0ENO,Longmont,CO,OPEN,,,17.06,N,,08,177,40.16719818,-105.10099792,448.8,443.8,88.5,Boulder,On-Air,Longmont ARC,CCARC,2017-03-11,,30,LARC: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,"Linkable to 147.27000 (W0ENO) at Longmont, CO .",,,88.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,17.43,E,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,107.2,Weld,On-Air,,CCARC,2013-01-07,,,,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,17.6,NW,,08,8992,40.07220078,-105.35399628,445.05,440.05,,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2019-11-27,Wide area,BrandMeister Network,,,,,,,,,,,,,,,,yes,1,310852,RMHR c Record retrieved from radioid.net,BrandMeister,,,,,,,,,,,BrandMeister US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,N0SZ,"Boulder, Lee Hill",CO,OPEN,,D,17.6,NW,,08,5219,40.07220078,-105.35399628,446.9875,441.9875,,Boulder,On-Air,Rocky Mountain Ham Radio,,2019-11-27,,Linked on Time Slot 2 to Almagre Mtn (446.950).,,,,,,,,,,,,,,,,yes,7,310813,RMHR c Record retrieved from radioid.net,,,"Full-time to 446.95000 (K7PFJ) at Colorado Springs, Almagre Mountain, CO . Full-time to the Colorado TRBO System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,141.3,N0SZ,"Boulder, Lee Hill",CO,OPEN,I,,17.6,NW,,08,19,40.07220078,-105.35399628,447.75,442.75,141.3,Boulder,On-Air,Rocky Mountain Ham Radio,CCARC,2018-04-24,,,,,,3450,,,,,,,,,,,,,,,,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.46,-0.6,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,EI,,17.6,NW,ON - IDLE,08,8,40.07220078,-105.35399628,145.46,144.86,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2017-11-13,Boulder/Denver Metro,"Closed autopatch, e-power.",,,347086,3990,,CRA VHF Link System,,,,,,,,,,,,,,,Member-only IRLP and Echolink node,"Full-time to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Full-time to 147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,107.2,W0CRA,"Boulder, Eldorado Mountain",CO,OPEN,,,17.6,NW,,08,20,40.07220078,-105.35399628,447.975,442.975,107.2,Boulder,On-Air,Colorado Repeater Association (CRA),CCARC,2016-09-08,Wide area: Boulder/Longmont area.,Closed autopatch.,,,,,DN70HB,,,,,,,,,,,,,,,,,,,,107.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
