Frequency,Offset,Tone     ,Call  ,Location                                                   ,ST/PR,Use    ,VOIP,DGTL,Mi   ,Dir,                ,state_id,ID   ,Latitude,Longitude,Downlink ,Uplink   ,Uplink Tone,Downlink Tone,County     ,Op Status,Sponsor                                                       ,Affiliate                                    ,Links                                                                            ,EchoLink,IRLP,AllStar,Web links                                                      ,Coordination           ,Last update,Features                                                                                                                                                    ,Coverage                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Notes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,D-STAR Enabled,Node                       ,Sources               ,YSF Digital Enabled,DG-ID          ,Mixed-Mode          ,Grid    ,Nets                                                                                                                                                    ,Feed       ,DMR Enabled,Color Code,Wide Network,Talkgroups                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Rocky Mountain Wide,Southern Colorado,Location Photo,Commands                                                                                                                                                                                                                                                               ,P-25 Digital Enabled,NAC,Default Reflector,Bandwidth,DMR ID ,TAC 310,TAC 311,Colorado,Colorado Chat,Eastern Colorado,On-air ,WIRES-X,Central Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Talkgroup Network,Northern Colorado Regional,Devilshead Local,Worldwide,North America,English,Europe,DCI Bridge,Southwest USA,Local Network  ,RX Location,Gunbarrel  ,Lousville  ,Lyons      ,Louisville #2,Texas,COMM 1,Local/Cluster,Texas/Oklahoma Regional USA,NORCAL 1,NORCAL 5150,Local or Reflector,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test
145.415  ,-0.6  ,179.9    ,KA0WUC,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,249  ,38.9939 ,-105.056 ,145.415  ,144.815  ,179.9      ,             ,Teller     ,         ,MARC                                                          ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2012-11-12 ,"Closed autopatch, e-power."                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,Unknown,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
447.675  ,-5    ,179.9    ,KA0WUC,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,8193 ,38.9939 ,-105.057 ,447.675  ,442.675  ,179.9      ,179.9        ,Teller     ,On-Air   ,Mountain Amateur Radio Club (MARC)                            ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2014-05-22 ,E-power.                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
449.025  ,-5    ,141.3    ,KA0WUC,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,252  ,38.9939 ,-105.056 ,449.025  ,444.025  ,141.3      ,             ,Teller     ,         ,Mountain Amateur Radio Club (MARC)                            ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2012-11-10 ,Linked.                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,Unknown,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
927.9    ,-25   ,D205     ,KA0WUC,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,3750 ,38.9938 ,-105.057 ,927.9    ,902.9    ,D205       ,D205         ,Teller     ,On-Air   ,MARC                                                          ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2012-11-10 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
146.82   ,-0.6  ,107.2    ,NX0G  ,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,250  ,38.9939 ,-105.056 ,146.82   ,146.22   ,107.2      ,             ,Teller     ,On-Air   ,Mountain ARC                                                  ,                                             ,"Full-time to
146.68500 (NX0G) at Lake George, Badger Mountain, CO .

Full-time to
448.65000 (NX0G) at Woodland Park, CO .

Full-time to
447.47500 (NX0G) at Colorado Springs, CO .

Full-time to
147.01500 (NX0G) at Cripple Creek, CO ."                           ,        ,    ,       ,                                                               ,CCARC                  ,2016-11-17 ,E-power.                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,MARC/PCRC: Tue at 19:30.                                                                                                                                ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
448.65   ,-5    ,107.2    ,NX0G  ,Woodland Park                                              ,CO   ,OPEN   ,    ,    ,125.5,N  ,                ,08      ,251  ,38.9939 ,-105.056 ,448.65   ,443.65   ,107.2      ,             ,Teller     ,On-Air   ,Mountain ARC (MARC)                                           ,MARC                                         ,"Full-time to
146.68500 (NX0G) at Lake George, Badger Mountain, CO .

Full-time to
146.82000 (NX0G) at Woodland Park, CO .

Full-time to
147.01500 (NX0G) at Cripple Creek, CO .

Full-time to
447.47500 (NX0G) at Colorado Springs, CO ."                           ,        ,    ,       ,                                                               ,CCARC                  ,2016-11-17 ,E-power.                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,MARC/PCRC: Tue at 19:30.                                                                                                                                ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
447.2    ,-5    ,151.4    ,      ,Falcon                                                     ,CO   ,OPEN   ,    ,Y   ,127.6,NNE,                ,08      ,13790,38.933  ,-104.609 ,447.2    ,442.2    ,           ,             ,El Paso    ,Testing  ,GGARC                                                         ,Garden of the Gods Amateur Radio Club        ,                                                                                 ,        ,    ,       ,                                                               ,                       ,2015-11-11 ,                                                                                                                                                            ,"Falcon, Black Forest, Peyton Areas"                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,yes                ,Open ↑ / Open ↓,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
147.375  ,0.6   ,156.7    ,KB5ITS,"Silverton, Kendall Mountain"                              ,CO   ,OPEN   ,    ,    ,127.6,WNW,                ,08      ,209  ,37.7933 ,-107.629 ,147.375  ,147.975  ,156.7      ,             ,San Juan   ,On-Air   ,                                                              ,                                             ,"Part-time to
146.67000 (K0EP) at Durango, Eagle Pass, CO ."                                   ,        ,    ,       ,http://www.sjcham.com                                          ,CCARC                  ,2018-01-15 ,13                                                                                                                                                          ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
147.36   ,0.6   ,107.2    ,KC0CVU,"Lake George, Badger Mountain"                             ,CO   ,OPEN   ,I   ,    ,127.8,N  ,                ,08      ,170  ,39.0489 ,-105.512 ,147.36   ,147.96   ,107.2      ,107.2        ,Park       ,On-Air   ,                                                              ,                                             ,                                                                                 ,        ,3854,       ,CMRG Repeaters                                                 ,CCARC                  ,2018-01-15 ,E-power.                                                                                                                                                    ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
146.685  ,-0.6  ,107.2    ,NX0G  ,"Lake George, Badger Mountain"                             ,CO   ,OPEN   ,    ,    ,127.8,N  ,                ,08      ,169  ,39.0494 ,-105.513 ,146.685  ,146.085  ,107.2      ,107.2        ,Park       ,On-Air   ,Mountain ARC (MARC)                                           ,                                             ,"Full-time to
146.82000 (NX0G) at Woodland Park, CO .

Full-time to
448.65000 (NX0G) at Woodland Park, CO .

Full-time to
447.47500 (NX0G) at Colorado Springs, CO .

Full-time to
147.01500 (NX0G) at Cripple Creek, CO ."                                       ,        ,    ,       ,                                                               ,CCARC                  ,2016-11-17 ,"Closed autopatch, e-power."                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,MARC/PCRC: Tue at 19:30.                                                                                                                                ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,Autopatch: 911                                                                                                                                                                                                                                                         ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
147.345  ,0.6   ,88.5     ,KB0VJJ,"Durango, Missionary Ridge"                                ,CO   ,OPEN   ,    ,    ,129.2,W  ,                ,08      ,114  ,37.35   ,-107.767 ,147.345  ,147.945  ,88.5       ,123          ,La Plata   ,On-Air   ,Colorado Connection                                           ,                                             ,Full-time to the  Colorado Connection System .                                   ,        ,    ,       ,                                                               ,CCARC                  ,2016-06-20 ,                                                                                                                                                            ,Durango and north towards Molas Divide.                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,"Central Colorado Traffic Net: Daily at 19:30.
Colorado Connection Net (All Welcome): Thu at 20:00.
Statewide ARES: Sun at 20:00."                                                                                                   ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
447.525  ,-5    ,127.3    ,KB5ITS,Silverton                                                  ,CO   ,OPEN   ,    ,    ,129.8,WNW,                ,08      ,210  ,37.8119 ,-107.664 ,447.525  ,442.525  ,127.3      ,             ,San Juan   ,On-Air   ,KB5ITS                                                        ,                                             ,                                                                                 ,        ,    ,       ,                                                               ,CCARC                  ,2014-06-30 ,E-power.                                                                                                                                                    ,Wide area.                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,           ,          ,            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                   ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,                ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
446.7625 ,-5    ,CC0      ,N0SZ  ,"Fairplay, Badger"                                         ,CO   ,OPEN   ,    ,D   ,129.8,N  ,                ,08      ,12698,39.0469 ,-105.87  ,446.7625 ,441.7625 ,           ,             ,Park       ,On-Air   ,K7PFJ                                                         ,RMHAM                                        ,                                                                                 ,        ,    ,       ,                                                               ,                       ,2017-03-11 ,                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,              ,                           ,                      ,                   ,               ,                    ,        ,                                                                                                                                                        ,           ,yes        ,0         ,            ,"Open Talkgroup View
 
 
 
 Assignment
 TS
 TG
 Access
 
  Rocky Mountain Wide  1  700      Central Regional  2  720
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,1                  ,                 ,              ,                                                                                                                                                                                                                                                                       ,                    ,   ,                 ,         ,       ,       ,       ,        ,             ,                ,       ,       ,2               ,            ,   ,              ,            ,                 ,                          ,                ,         ,             ,       ,      ,          ,             ,               ,           ,           ,           ,           ,             ,     ,      ,             ,                           ,        ,           ,                  ,               ,               ,     ,          ,       ,
