Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Features,IRLP,Coordination,Last update,DMR Enabled,Color Code,DMR ID,Wide Network,Affiliate,Web links,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroup Network,Talkgroups,Southern Colorado,Central Regional,Northern Colorado Regional,Grid,AllStar,Rocky Mountain Wide,Commands,Feed,EchoLink,P-25 Digital Enabled,NAC,Default Reflector,On-air,Mixed-Mode,YSF Digital Enabled,DG-ID,D-STAR Enabled,Node,Sources,IPSC Network,Devilshead Local,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,WIRES-X,Bandwidth,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 310,TAC 311,Colorado,Colorado Chat,Location Photo,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL
145.145,-0.6,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.13,E,,08,107,39.6794,-105.492,145.145,144.545,107.2,Clear Creek,On-Air,Colorado Repeater Assoc,E-power.,,CCARC,2018-07-23,,,,,,http://www.w0cra.org/info/squaw.html#145145,107.2,Wide area. Denver metro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,,32.13,E,Node Offline,08,264,39.6794,-105.492,447.575,442.575,107.2,Clear Creek,On-Air,Colorado Repeater Association (CRA),,3291,CCARC,2017-11-13,,,,,,http://www.w0cra.org,107.2,Wide area: Denver metro.,,,,,,,,,,,,Member-only IRLP and Echolink node,,347088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,32.13,E,,08,76,39.6794,-105.492,145.49,144.89,100,Jefferson,On-Air,"KB0VIU, Denver Radio Club",E-power.,,CCARC,2017-03-11,,,,,,DRC Repeaters,100,,"Full-time to 448.62500 (W0TX) at Golden, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,32.13,E,ON - IDLE,08,98,39.6794,-105.492,449.35,444.35,100,Clear Creek,On-Air,Denver Radio Club,11,,CCARC,2017-03-11,,,,,,DRC Repeaters,100,Wide area.,,,,,,,,,,,,,,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.26,E,,08,94,39.6774,-105.488,448.675,443.675,100,Denver,On-Air,W0CFI,,,CCARC,2015-04-03,,,,,,,100,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,,32.33,E,,08,84,39.6781,-105.487,147.3,147.9,103.5,Clear Creek,On-Air,Denver PD EEB,,,CCARC,2017-03-11,,,,,,,103.5,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,,32.53,E,,08,8250,39.6732,-105.48,449,444,136.5,Clear Creek,On-Air,CARN,,,CCARC,2017-03-11,,,,,,,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.05,-5,107.2,WG0N,"Idaho Springs, Squaw Mountain",CO,OPEN,,,33.21,E,,08,95,39.7425,-105.514,449.05,444.05,107.2,Denver,On-Air,WG0N,E-power.,,CCARC,2012-11-20,,,,,,,107.2,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,34.67,NNE,,08,3756,39.9473,-105.795,447.45,442.45,103.5,Grand,On-Air,W0IG,,,CCARC,2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.85,-5,141.3,AC0KQ,"Evergreen, Saddleback Mountain",CO,OPEN,A,,35.81,E,,08,9580,39.7189,-105.44,447.85,442.85,141.3,Clear Creek,Off-Air,AC0KQ,AllStar node repeater providing wide area coverage along the Front Range,,CCARC,2019-08-23,,,,,Rocky Mountain Ham Radio,,141.3,Wide area at 9500',,,,,,,,,,29571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,,36.59,ESE,,08,59,39.5148,-105.353,147.12,147.72,88.5,Jefferson,On-Air,Aurora Repeater Association,E-power.,,CCARC,2016-01-17,,,,,,http://www.n0ara.org,88.5,Denver metro and east.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,,39.18,ESE,,08,103,39.5211,-105.305,1287.9,1267.9,CSQ,Jefferson,Off-Air,Colorado Repeater Association (CRA),,,CCARC,2017-10-07,,,,,,,,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,,39.81,E,,08,73,39.6333,-105.317,145.34,144.74,103.5,Jefferson,On-Air,Rocky Mtn Radio League,E-power.,3350,CCARC,2019-08-15,,,,,,Repeater,127.3,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC,N0SZ,"Evergreen, Squaw Mountain",CO,OPEN,,D,39.81,E,,08,10932,39.6333,-105.317,145.175,144.575,,Clear Creek,On-Air,Rocky Mountain Ham Radio,700,,CCARC,2018-11-25,yes,7,310810,,,Rocky Mountain Ham Radio,,,,Voice ID is required for data/GPS/text on TG 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,40.7,E,,08,82,39.7525,-105.359,146.985,146.385,100,Denver,On-Air,El Jebel RADOPS,E-power.,3346,CCARC,2016-09-05,,,,,,,100,,,,RADOPS: Sun at 19:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,40.7,E,,08,140,39.7525,-105.359,145.28,144.68,100,Jefferson,On-Air,,"Closed autopatch, e-power, linked.",,CCARC,2015-05-22,,,,,,Intermountain Repeater Group,,Wide area.,"Full-time to 449.52500 (KE0SJ) at Golden, Centennial Cone, CO .","PL is usually off, allowing use by older transceivers.",Sun at 19:30. Everyone welcome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,40.7,E,,08,138,39.75249863,-105.35900116,449.525,444.525,CSQ,Jefferson,On-Air,KE0SJ,E-power.,,CCARC,2015-05-23,,,,,,Intermountain Repeater Group,,,"Full-time to 145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,DM79HS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,40.7,E,,08,77,39.7525,-105.359,146.64,146.04,100,Jefferson,On-Air,Denver Radio League,E-power.,,CCARC,2017-03-11,,,,,,DRL Repeaters,,Wide area. Repeater Coverage Map,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,40.75,E,,08,112,39.7525,-105.358,448.625,443.625,100,Jefferson,On-Air,Denver Radio Club,E-power.,,CCARC,2017-03-11,,,,,,DRC Repeaters,100,Denver metro area.,"Full-time to 145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,DRC: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,D205,KI0HC,"Golden, Centennial Cone",CO,OPEN,,,40.8,E,,08,9702,39.7658,-105.366,927.8375,902.025,,Jefferson,On-Air,,Linked with Chief 927.9375 &amp; Almagre 927.7250 for wide area coverage,,CCARC,2018-12-23,,,,,,,,Great coverage of the Denver area and I-76 East to Atwood MM112. I-70 East to Agate MM340. West to Idaho Springs MM240. And I-25 from Larkspur MM172 to Longmont MM240 depending on the hills. Now linked with Almagre 927.7250 for great coverage south,,The offset is -25.8125,,,,,,,,45770,,,,,yes,293,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,40.8,E,,08,7165,39.7657,-105.366,446.7875,441.7875,,Jefferson,On-Air,Denver Radio Club,,,CCARC,2017-12-09,yes,1,,,Brandmeister Network,http://www.w0tx.org/,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.685,-0.6,107.2,NX0G,"Lake George, Badger Mountain",CO,OPEN,,,41,SE,,08,169,39.04940033,-105.51300049,146.685,146.085,107.2,Park,On-Air,Mountain ARC (MARC),"Closed autopatch, e-power.",,CCARC,2016-11-17,,,,,,,107.2,,"Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO . Full-time to 147.01500 (NX0G) at Cripple Creek, CO .",,MARC/PCRC: Tue at 19:30.,,,,,,DM79FB,,,Autopatch: 911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,107.2,KC0CVU,"Lake George, Badger Mountain",CO,OPEN,I,,41.06,SE,,08,170,39.0489,-105.512,147.36,147.96,107.2,Park,On-Air,,E-power.,3854,CCARC,2018-01-15,,,,,,CMRG Repeaters,107.2,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.6,-1.6,100,W0RM,Rollinsville,CO,OPEN,,,41.48,NE,,08,201,39.9172,-105.501,224.6,223,100,Gilpin,,W0RM,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,41.73,S,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,Park,Off-Air,,,,CCARC,2017-11-22,,,,,,,103.5,Western Park County,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,DM78AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,42.09,N,,08,15899,40.0861,-105.939,446.875,441.875,,Clear Creek,On-Air,,,,,2017-03-11,yes,,,,RMHAM,http://www.rmham.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,42.09,N,,08,145,40.0861,-105.939,146.82,146.22,123,Grand,,GCARA,E-power.,,CCARC,2014-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.85,-5,88.5,K0IBM,"Golden, Guy Hill",CO,OPEN,,,42.9,E,,08,136,39.7772,-105.329,448.85,443.85,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power.,,CCARC,2016-01-17,,,,,,ARA Repeaters,88.5,"Denver metro, central front range",,,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,-1.6,103.5,N0MHU,"Golden, Guy Hill",CO,OPEN,,,42.9,E,,08,86,39.7772,-105.329,224,222.4,103.5,Jefferson,On-Air,Rocky Mountain Radio League,8,,CCARC,2017-03-11,,,,,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,W0CBI,"Golden, Guy Hill",CO,OPEN,,,42.9,E,,08,133,39.7772,-105.329,147.15,147.75,100,Jefferson,On-Air,Aurora Repeater Assoc (ARA),e-power,,CCARC,2016-01-17,,,,,,ARA Repeaters,100,"Denver metro, central front range","Linkable to 224.74000 (N0POH) at Golden, Guy Hill, CO .",,ARA: Wed at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.75,-5,103.5,KI0GO,"Golden, Guy Hill",CO,OPEN,,,42.95,E,,08,265,39.7772,-105.328,449.75,444.75,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,,CCARC,2016-12-23,,,,,,Repeater,103.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.74,-1.6,88.5,N0POH,"Golden, Guy Hill",CO,OPEN,,,42.95,E,,08,134,39.7772,-105.328,224.74,223.14,88.5,Jefferson,On-Air,Aurora Repeater Assoc,e-power,,CCARC,2016-01-17,,,,,,ARA Repeaters,88.5,,,,ARA: Wed at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,103.5,WT0C,"Golden, Guy Hill",CO,OPEN,,,42.95,E,,08,71,39.77719879,-105.32800293,145.22,144.62,103.5,Jefferson,On-Air,Rocky Mtn Radio League,8,,CCARC,2016-12-23,,,,,,Repeater,103.5,Wide area.,,Talk-Group of $FFFF.,,,,,,,,,,,,,yes,293,yes,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB0VJJ,"Boulder, Thorodin Mountain",CO,OPEN,,,42.96,NE,,08,72,39.8875,-105.426,145.31,144.71,88.5,Gilpin,On-Air,Colorado Connection,10,,CCARC,2019-08-15,,,,,,,123,"Wide area: Cheyenne, Wyoming to the north, Monument, Colorado to the south, Limon, Colorado to the east, and the continental divide to the west.",Full-time to the Colorado Connection System .,"Split tone. The repeater still transmits 123.0 for those wishing to use tone squelch, you must run a split tone 88.5 TX and 123.0 RX",Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (all welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
