Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Sponsor,Notes,Coordination,Last update,Downlink Tone,Grid,Affiliate,Links,AllStar,Features,Web links,Coverage,On-air,DMR Enabled,Color Code,Wide Network,IRLP,Nets,DMR ID,EchoLink,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,IPSC Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Location Photo,Feed,Commands,Central Regional,Bandwidth,Mixed-Mode,Northern Colorado Regional,Eastern Colorado,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,46.33,SSW,,08,188,37.193,-107.1,146.61,146.01,123,Archuleta,On-Air,,,CCARC,2018-01-15,,,,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,94.8,K0SLV,Monte Vista,CO,OPEN,,,47.19,SE,,08,18580,37.58418274,-106.13030243,449.625,444.625,94.8,Rio Grande,On-Air,S.A.R.A.,,,2020-03-11,,,,,,Emergency Power,http://K0SLV.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,,K5GF,Gunnison,CO,OPEN,,,48.13,N,,08,161,38.5458,-106.925,449.95,444.95,,Gunnison,,K5GF,,CCARC,2012-11-10,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W0VTL,Gunnison,CO,OPEN,,,48.13,N,,08,160,38.5458,-106.925,147.12,147.72,,Gunnison,On-Air,W0VTL,,CCARC,2014-09-01,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,49.17,WSW,,08,208,37.6992,-107.806,147.27,147.87,127.3,San Juan,On-Air,KB5ITT,,CCARC,2017-04-14,,,Durango ARC,,,E-power.,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,52.29,WNW,,08,17998,38.18,-107.79,447.8,442.8,,Ouray,On-Air,AD0RM,,,2019-08-17,,,,,,,,Montrose to Ouray,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,55.11,NW,,08,15213,38.38750076,-107.6740036,448.65,443.65,,Montrose,On-Air,KB0YNA,,,2016-10-11,151.4,,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,55.11,NW,,08,69,38.3875,-107.674,447.2,442.2,107.2,Montrose,On-Air,,Closed IRLP out - Ask for a control op,CCARC,2018-01-15,107.2,,Grand Mesa Repeater Assoc,Full-time to the GMRA Open System .,,9,GMRA Repeaters,Delta/Montrose,,,,,3710,RACES Net Wed at 1930 Hrs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,Maysville,CO,OPEN,,,55.29,NE,,08,16739,38.50630188,-106.34500122,145.325,144.725,100,Chaffee,On-Air,Chaffee Lake Amateur Repeater Association,,,2019-09-04,,,,,,,,wide area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,,,56.68,SW,,08,116,37.3828,-107.778,146.7,146.1,100,La Plata,On-Air,Durango ARC,,CCARC,2018-01-16,100,,,,,9,http://durangoarc.org/,Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,,,56.69,NNE,,08,15212,38.6125,-106.543,447.65,442.65,151.4,Gunnison,On-Air,KB0YNA,,CCARC,2016-10-28,151.4,,,"Full-time to 448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO . Full-time to 449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",,Gunnison valley and along East and west on Highway 50.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,,,57.53,SW,,08,114,37.35,-107.767,147.345,147.945,88.5,La Plata,On-Air,Colorado Connection,,CCARC,2016-06-20,123,,,Full-time to the Colorado Connection System .,,,,Durango and north towards Molas Divide.,,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,N0SZ,"Durango, Missionary Ridge",CO,OPEN,,D,57.63,SW,,08,16782,37.3669,-107.785,445.1375,440.1375,,La Plata,On-Air,K2AD,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,2018-09-27,,,Rocky Mountain Ham Radio,,,,http://www.rmham.org/,,,yes,7,,,,310854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,57.85,W,,08,254,37.991,-107.972,449.7,444.7,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),Closed IRLP out - Ask for a control Op,CCARC,2017-12-07,107.2,,,Full-time to the GMRA Open System .,,E-power.,,Wide Area via links - Western Colorado - Eastern Utah,,,,,3710,RACES: Wed at 19:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,63.39,S,,35,15624,36.9336,-106.999,145.43,144.83,136.5,Rio Arriba,On-Air,SJC EMCOMM,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,63.57,NW,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,Montrose,On-Air,San Juan Connection,,,2020-01-17,,,,,,,http://www.sjcham.com,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,63.85,SW,,08,8177,37.115,-107.633,147.15,147.75,100,La Plata,On-Air,,,CCARC,2018-01-16,,,,,,E-power.,http://www.sjcham.com,Bayfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,64.6,NE,,08,205,38.4528,-106.018,449.65,444.65,107.2,Chaffee,On-Air,,,CCARC,2018-01-15,,,,,,E-power.,CMRG Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,,64.6,NE,,08,3811,38.4528,-106.018,449.925,444.925,103.5,Chaffee,On-Air,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,CCARC,2013-07-05,103.5,,Colorado ARES,,,E-power (Bat),,"Upper Arkansas and Platte Rivers, and the SLV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,,64.61,NE,ON - IDLE,08,13510,38.4463,-106.011,449.975,444.975,100,Chaffee,On-Air,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,2017-03-11,100,DM68xk,,Full-time to the The Fun Machine System .,28368,2,K0JSC.COM,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,,,,,7301,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,363976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8625,-25.8,,WA6IFI,"Salida, Methodist Mountain",CO,OPEN,,,64.67,NE,,08,18425,38.44670105,-106.01000214,927.8625,902.025,,Chaffee,On-Air,CMRG,,CCARC,2020-01-01,,,,Full-time to the The 900 P25 Network System .,,,,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,,65.2,NE,,08,204,38.4596,-106.011,147.285,147.885,88.5,Chaffee,On-Air,Colorado Connection,,CCARC,2016-05-23,123,,,Full-time to the Colorado Connection System .,,11,,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,,,,,Central Colorado Traffic Net: Daily at 19:30. Colorado Connection Net (All Welcome): Thu at 20:00. Statewide ARES Net: Sun at 20:00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,,65.2,NE,,08,203,38.4596,-106.011,145.295,144.695,107.2,Chaffee,On-Air,Cheyenne Mtn Repeater Group,,CCARC,2019-08-15,,DM78ik,,,,,CMRG Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,131.8,KC5EVE,Durango,CO,OPEN,,,65.55,SW,,08,115,37.2753,-107.879,448.625,443.625,131.8,La Plata,On-Air,KC5EVE,,CCARC,2018-09-26,131.8,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.85,-5,100,K0EP,Durango,CO,OPEN,,,65.6,SW,,08,11546,37.27529907,-107.87999725,449.85,444.85,100,La Plata,On-Air,DARC,,CCARC,2018-09-26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,,,66.56,WSW,,08,113,37.41529846,-108.01200104,146.67,146.07,100,La Plata,On-Air,Durango ARC,Linked active in the summer months only.,CCARC,2019-04-01,100,,,"Part-time to 147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",,11,DARC Repeaters,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,0.6,100,KB5ITS,"Durango, Smelter Mountain",CO,OPEN,,,67.28,SW,,08,11545,37.2622,-107.906,147.135,147.735,100,La Plata,On-Air,,,CCARC,2018-01-15,100,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,67.48,NW,,08,12442,38.4783,-107.876,146.91,146.31,107.2,Montrose,On-Air,,,CCARC,2014-12-13,107.2,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,67.48,NW,,08,7953,38.4783,-107.876,146.79,146.19,107.2,Montrose,On-Air,KC0UXX,,CCARC,2012-09-06,107.2,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,,67.62,SSE,,35,15079,36.90999985,-106.58000183,147.08,147.68,162.2,Rio Arriba,On-Air,SFARC,,NMFCC,2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.975,-5,,KD0QPG,"Salida, Methodist Mountain",CO,OPEN,,S,69.12,NE,,08,9844,38.5347,-105.999,446.975,441.975,,Chaffee,On-Air,Crestone Amateur Radio Emergency Services,,CCARC,2013-07-06,,,Crestone Amateur Radio Emergency Services,,,,KD0QPG,,,,,,,,,,,,,yes,KD0QPG (B) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8125,-5,CC,N0SZ,"Salida, Methodist Mountain",CO,OPEN,,D,69.12,NE,,08,12697,38.53469849,-105.99900055,446.8125,441.8125,,Chaffee,On-Air,RMHAM,,,2019-11-27,,,,,,,,,,yes,7,,,,310825,,,,,,,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,100,KB0VIU,Hesperus,CO,OPEN,,,71.29,WSW,,08,8169,37.3,-108.028,145.37,144.77,100,La Plata,On-Air,,,CCARC,2018-01-15,100,,,,,E-power.,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.745,-0.6,100,W0LSD,Nathrop,CO,OPEN,,,71.5,NNE,,08,184,38.7129,-106.2,146.745,146.145,100,Chaffee,On-Air,CLARA,,CCARC,2019-07-21,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,,KB5ITS,"Mancos, Caviness",CO,OPEN,,,74.8,WSW,,08,18459,37.36460114,-108.14800262,145.325,144.725,,Montezuma,On-Air,San Juan Connection,,,2020-01-12,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.375,5,100,KB5ITS,"Mancos, Caviness Mountain",CO,OPEN,,,75.05,WSW,,08,15896,37.36,-108.15,442.375,447.375,100,Montezuma,On-Air,San Juan Connection,,,2017-11-30,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,107.2,KI0MR,Paonia,CO,OPEN,,,79.12,NNW,,08,8179,38.8683,-107.592,147.33,147.93,107.2,Delta,On-Air,North Fork Repeater Assoc.,,CCARC,2016-05-16,,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,80.21,SW,,35,16667,36.95,-107.85,147.06,147.66,100,San Juan,On-Air,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KB5ITS,"Mancos, Menefee Mountain",CO,OPEN,,,80.91,WSW,,08,8168,37.32600021,-108.2480011,145.325,144.725,100,Montezuma,On-Air,,Full time to the San Juan Connection,CCARC,2018-01-15,,DM57VH,,,,E-power.,http://www.sjcham.com,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,81.91,E,,08,15584,38.1347,-105.466,448.325,443.325,100,Custer,On-Air,,,,2017-01-06,100,,The Fun Machine,Full-time to the The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,81.91,SSW,,35,15644,36.8,-107.62,147.36,147.96,100,San Juan,On-Air,,,NMFCC,2018-01-15,,,,Full-time to the San Juan Connection System .,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,81.91,E,,08,8218,38.1347,-105.466,919.1,894.1,88.5,Pueblo,Off-Air,Pueblo HC,,CCARC,2016-07-14,CSQ,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,81.97,E,,08,7189,38.1347,-105.465,147.06,147.66,77,Custer,On-Air,http://www.qsl.net/rghc,,CCARC,2019-08-16,77,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,81.97,E,,08,248,38.1347,-105.465,448.15,443.15,103.5,Custer,On-Air,Royal George ARC,,CCARC,2017-03-11,103.5,,,,,E-power.,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,81.97,E,,08,7192,38.1347,-105.465,927.775,902.775,D116,Custer,On-Air,Royal Gorge Amateur Radio Club,System uses digital PL,CCARC,2012-06-14,D116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,N5UBJ,"Mancos, Caviness Mountain",CO,OPEN,,D,82.35,WSW,,08,15895,37.34500122,-108.28900146,446.7375,441.7375,,Montezuma,On-Air,RMHAM,Talkgroup 700 TS 1 Talkgroup 719 TS 2,CCARC,2019-11-27,,,,,,,http://www.rmham.org,,,yes,6,,,,310826,,,,,,,,RMHR c Record retrieved from radioid.net,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 1 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,84.61,SE,,35,19,36.8594017,-106.01899719,146.76,146.16,67,Rio Arriba,On-Air,Taos ARC,,,2016-04-30,,DM66XU,,,,11,,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,84.63,SE,,35,175,36.85969925,-106.01799774,147.22,147.82,100,Rio Arriba,On-Air,New Mexico Mega Link Assoc,,NMFCC,2017-01-23,,DM66XU,,Full-time to the Mega-Link System .,,10,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,89.44,NE,,08,9840,38.88330078,-105.93299866,448.575,443.575,103.5,Park,Off-Air,,,CCARC,2017-11-22,103.5,DM78AV,,"Full-time internet linked to 146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,100,KB5ITS,"Cortez, Goodman",CO,OPEN,,,90.18,WSW,,08,16606,37.4739,-108.505,145.19,144.59,100,Montezuma,On-Air,,,CCARC,2018-01-15,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,,,90.18,WSW,,08,16623,37.4739,-108.505,447.275,442.275,100,Montezuma,On-Air,,,,2017-12-07,,,,,,,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.195,0.6,107.2,KC0QXX,"Cedaredge, Cedar Mesa",CO,OPEN,,,90.68,NW,,08,3745,38.9016,-107.926,147.195,147.795,107.2,Delta,,,,,2018-04-04,,,Colorado District 25 ARES,,,,,Local.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,W0ALC,Cedaredge,CO,OPEN,,,90.68,NW,,08,3749,38.90159988,-107.9260025,147.36,147.96,100,Delta,On-Air,W0ALC,,CCARC,2019-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.825,-5,100,W0ALC,Cedaredge,CO,OPEN,,,90.68,NW,,08,3760,38.9016,-107.926,449.825,444.825,100,Delta,,W0ALC,,CCARC,2018-04-04,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,91.84,N,,08,260,39.1761,-106.829,447.05,442.05,136.5,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,CCARC,2012-11-10,136.5,,,,,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,92.01,SW,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,San Juan,On-Air,KB5ITS,,NMFCC,2017-07-19,,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
