Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,County,Op Status,Sponsor,Affiliate,Web links,Coordination,Last update,Downlink Tone,Coverage,Links,Notes,Nets,Talkgroups,Rocky Mountain Wide,Northern Colorado Regional,Features,On-air,Central Regional,Grid,EchoLink,IRLP,Commands,AllStar,YSF Digital Enabled,DG-ID,WIRES-X,D-STAR Enabled,Node,Sources,P-25 Digital Enabled,NAC,Default Reflector,Mixed-Mode,Feed,Local Network,TAC 310,DCI Bridge,N. Colorado,Mountain Reg USA,Local/Cluster,Talkgroup Network,Worldwide English,North America,Colorado,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,English,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Southern Colorado,Devilshead Local,TAC 311,Colorado Chat,Eastern Colorado,Wyoming,WyLOCAL,Location Photo,REACT,CO-Park County
447,-5,103.5,KC0VJD,Hugo,CO,OPEN,W,Y,77.74,S,,08,17059,39.05419922,-103.48000336,447,442,,,,,,,Lincoln,On-Air,Delbert Noakes (KC0VJD),,,CCARC,2020-01-26,,"I-70, US-71, US-287, US-40, US-24, Hugo, Limon, Genoa, Punkin Center, Arriba.",,,,,,,APRS repeater &amp; I-Gate / Weather station,,,,,,,,yes,Open ↑ / Open ↓,30534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KC0KWD,LaSalle,CO,OPEN,I,Y,79.04,W,,08,157,40.26119995,-104.70600128,147,147.6,,,,,,,Weld,On-Air,Weld ARS,,,CCARC,2019-05-06,,,,,Tuesday Night club net,,,,"Yaesu System Fusion, 20 Watts. Will be switching to DSQ on 1 Feb 2016.",,,DN70PG,,3839,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,KC0KWD,Greeley,CO,OPEN,I,,79.04,W,,08,158,40.26119995,-104.70600128,448.475,443.475,100,,,,,,Weld,On-Air,Weld Amateur Radio Society (WARS),,http://www.warsco.org/,CCARC,2019-05-06,,,,,,,,,,,,DN70PG,,3839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,79.58,SW,,08,12167,39.22669983,-104.08999634,147.105,147.705,107.2,,,,,,Elbert,On-Air,ARES of Douglas and Elbert Counties,Colorado Repeater Association,http://www.w0cra.org/,CCARC,2020-02-11,107.2,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.","Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,,,Linked to CRA 448.425 - WestCreek,,,DM79WF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,80.11,W,,08,9771,40.00719833,-104.71600342,447.625,442.625,100,,,,,,Adams,On-Air,Intermountain Repeater Group,,Intermountain Repeater Group,,2015-05-23,,Local/North Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,W0UPS,"Greeley, UNC",CO,OPEN,,,80.11,WNW,,08,156,40.40359879,-104.69999695,146.85,146.25,100,,,,,,Weld,On-Air,Northern Colorado ARC,,,CCARC,2017-05-08,100,,,,,,,,"E-power, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,127.3,K0OJ,"Greeley, UNC",CO,OPEN,,,80.27,WNW,,08,159,40.40370178,-104.70300293,449.725,444.725,127.3,,,,,,Weld,On-Air,K0OJ,,,CCARC,2019-10-04,,,,,,,,,"Autopatch, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.1375,-5,CC,KB0VGD,Greeley,CO,OPEN,,D,80.86,WNW,,08,18521,40.42331314,-104.70912933,445.1375,440.1375,,yes,2,,c Record retrieved from radioid.net,,Weld,On-Air,,,,,2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,136.5,WR0AEN,Greeley,CO,OPEN,,S,80.86,WNW,,08,8210,40.4233017,-104.70899963,449.325,444.325,,,,,,,Weld,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7375,-25.7,100,KI0HC,Parker,CO,OPEN,,,83.73,WSW,,08,14732,39.53910065,-104.56900024,927.7375,902.025,100,,,,,,Douglas,On-Air,,,,CCARC,2020-01-01,100,"Wide area coverage, I 25 from Cheyenne south to MM 20 just north of Trinidad. I 76 East to MM 100. I 70 from Idaho Springs to Genoa. Highway 24 from the Colorado Springs to Limon. Highway 24 west of Colorado Springs is spotty to Hartsel. US 50 from Canon City to Las Animas. Salida south to the San Luis Valley to Antonito. Salida North to just south of Leadville. Repeater Coverage Map",Full-time to the The 900 P25 Network System .,,,,,,,,,DM79RM,,,,,,,,,,,yes,293,yes,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.3,-5,107.2,AC0KC,Fort Lupton,CO,OPEN,EI,,83.76,W,Node Offline,08,8739,40.02759933,-104.78900146,447.3,442.3,107.2,,,,,,Weld,On-Air,,,,CCARC,2013-01-07,,,,,,,,,,,,,405804,3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.96,-1.6,CSQ,AC0KC,Fort Lupton,CO,OPEN,,,84.65,W,,08,8183,40.08470154,-104.81300354,224.96,223.36,CSQ,,,,,,Weld,On-Air,AC0KC,,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,WE0FUN,"Denver, Green Valley Ranch",CO,OPEN,EA,,85.02,WSW,Node Offline,08,9765,39.79669952,-104.7480011,448.15,443.15,141.3,,,,,,Denver,On-Air,K0GUR,,k0jsc.com,CCARC,2019-08-22,141.3,Small coverage of the East Denver area SW of DIA. Repeater Coverage Map,Full-time to the The Fun Machine System .,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list. The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,,,,E-power (batt). 2 meter and 70cm channel steerable remote bases.,,,DM79pt,24340,,,29436,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,89.53,WSW,,08,5,39.6072998,-104.74099731,145.4,144.8,100,,,,,,Arapahoe,On-Air,Castle Rock Repeater Group,,,CCARC,2019-03-09,,Greater Denver area.,"Full-time to 448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,,89.74,WSW,ON - IDLE,08,8741,39.62799835,-104.75800323,145.19,144.59,151.4,,,,,,Arapahoe,On-Air,N0OBA,,,,2018-02-01,131.8,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,,Autopatch (please contact trustee).,,,DM79OP,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,S,90.43,WSW,,08,8207,39.69670105,-104.80999756,449.15,444.15,,,,,,,Arapahoe,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,90.69,WSW,,08,92,39.72940063,-104.83100128,448.5,443.5,100,,,,,,Denver,On-Air,Castle Rock Repeater Group,,,CCARC,2017-03-11,,Greater Denver area.,"Full-time to 145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,,90.74,WSW,,08,8202,39.72940063,-104.83200073,448.4,443.4,94.8,,,,,,Arapahoe,On-Air,,,,CCARC,2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,90.74,WSW,,08,8199,39.72940063,-104.83200073,448.275,443.275,156.7,,,,,,Arapahoe,On-Air,W0BG,,,CCARC,2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,Aurora,CO,OPEN,,,90.74,WSW,,08,8743,39.72940063,-104.83200073,449.95,444.95,77,,,,,,Arapahoe,On-Air,W9SL Owner,,,CCARC,2019-08-23,77,Primarily to the North along I-25 corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,90.74,WSW,,08,16032,39.72940063,-104.83200073,448.825,443.825,,,,,,,Arapahoe,On-Air,,,,,2017-12-13,,,,,,,,,,,,,,,,,yes,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC,K0PRA,Parker,CO,OPEN,,D,93.08,WSW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17292,39.44910049,-104.70300293,445.075,440.075,,yes,1,310844,None c Record retrieved from radioid.net,,Douglas,On-Air,Parker Radio Association,,http://www.parkerradio.org,CCARC,2019-11-27,,,,Mixed Mode,Mondays 20:30 MST,,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9,-5,,K0PRA,Parker,CO,OPEN,W,Y,93.29,WSW,,08,18248,39.51860046,-104.76100159,446.9,441.9,,,,,,,Arapahoe,On-Air,Parker Radio Association,,https://www.parkerradio.org,,2019-11-03,,Small coverage area in Parker,,,Monday nights 8pm mountain,,,,Linked to the Colorado Mega digital system,,,,,,,,yes,Open ↑ / Open ↓,40895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.05,-5,CC,N0KEG,Parker,CO,OPEN,,D,93.29,WSW,,08,17696,39.51860046,-104.76100159,448.05,443.05,,yes,1,310374,Brandmeister c Record retrieved from radioid.net,BrandMeister,Douglas,,,,,,2019-11-27,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,Brandmeister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,,,93.57,WSW,,08,274,39.55799866,-104.79399872,448.7,443.7,146.2,,,,,,Douglas,On-Air,,,,,2018-09-07,,Local North Parker only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,82.5,N6RFI,"Severance, Cactus Hill",CO,OPEN,,,93.69,WNW,,08,8188,40.58100128,-104.90599823,447.2,442.2,82.5,,,,,,Weld,On-Air,N6RFI,,,CCARC,2017-03-11,,,,,,,,,,,,DN70NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.85,-5,,K0PRA,Franktown,CO,OPEN,,S,93.96,SW,,08,11473,39.39350128,-104.67500305,446.85,441.85,,,,,,,Douglas,On-Air,Parker Radio Association,,http://parkerradio.org,CCARC,2018-03-18,,,,,,,,,D-Star B module,,,DM79PJ,,,,,,,,yes,K0PRA (B) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N1FSX,Punkin Center,CO,OPEN,,,94.05,SSW,,08,7395,38.85200119,-103.69999695,449.9,444.9,107.2,,,,,,Lincoln,On-Air,,BSAR,,CCARC,2012-07-20,,,,,,,,,,,,DM88DU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,94.88,WNW,,08,12562,40.54460144,-104.94400024,147.39,147.99,,yes,2,310822,NoCO c Record retrieved from radioid.net,,Larimer,On-Air,KT0L - NoCo C-Bridge Network,,Documentation,CCARC,2019-11-27,,"Fort Collins east side, into Red Feather Lakes area.",,,Tac 310 Net: Sun at 18:00.,"Open Talkgroup View Assignment TS TG Access TAC 310 1 310 DCI Bridge 1 3100 N. Colorado 1 3171 Mountain Reg USA 1 3177 Local/Cluster 2 2 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,CC,W0DMR,"Fort Collins, Timnath",CO,OPEN,,D,94.96,WNW,"Rick KT0L Repeater Ft Collins, CO (Limited coverage)",08,10995,40.59379959,-104.9260025,446.775,441.775,,yes,2,310806,NoCO c Record retrieved from radioid.net,,Larimer,On-Air,W0DMR - NoCo C-bridge Network,Brandmeister Network,W0DMR,CCARC,2019-11-27,,"Fort Collins east side, into Red Feather Lakes area.",,"Any additional Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf",,"Open Talkgroup View Assignment TS TG Access Worldwide English 1 91 Full-Time North America 1 93 Full-Time DCI Bridge 1 3100 Full-Time Local/Cluster 2 2 Colorado 2 3108 Full-Time N. Colorado 2 3171 Full-Time function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,DN70MO,,,"Repeater ID: 310806, TS 1: TG 91 - World Wide, TG 93 - North America, TG 3100 USA. TS 2: TG 2 - Local, TG 3171 - No. Colorado, TG 3108 Colorado Statewide.",,,,,,,,,,,,,,,1,2,,2,BrandMeister US,1,1,2,,,,,,,,,,,,,,,,,,,,,,
448.025,-5,100,W0UPS,"Loveland, Budweiser Event Center",CO,OPEN,,Y,95.56,WNW,,08,3621,40.44400024,-104.98899841,448.025,443.025,100,,,,,,Larimer,On-Air,Northern Colorado ARC,,,CCARC,2016-03-21,100,,,,,,,,,,,DN70MK,,,,,yes,Open ↑ / Open ↓,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.045,0.6,123,K0ML,Northglenn,CO,OPEN,,,95.72,W,,08,185,39.88560104,-104.98699951,147.045,147.645,123,,,,,,Adams,On-Air,Northglenn RA,,,CCARC,2017-04-10,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,-0.6,103.5,N0NEB,Harrisburg,NE,OPEN,,,96.12,NNW,,31,58,41.49000168,-103.75499725,147,146.4,103.5,,,,,,Banner,On-Air,Tri-City Radio Amateur Club,,,,2017-09-07,,,,,,,,,,,,DN81CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.315,0.6,CC,N0KEG,Centennial,CO,OPEN,,DS,96.86,WSW,"Colorado Mega Reflector - XLX376 Transcoder - YSF 23160 - WiresX 40895 Welcome to the new and improved Colorado Mega Link! Brought to you by the Parker Radio Association, where we have fun, play radio and keep the squelch loose. Please join us Monday nights at 8pm mountain time our our digital net.",08,17676,39.58069992,-104.8769989,147.315,147.915,,yes,1,310759,Brandmeister c Record retrieved from radioid.net,,Arapahoe,,N0KEG,Parker Radio Association,https://www.parkerradio.org,,2019-11-27,,"Southeast metro Denver area. Parker, Centennial, SE Aurora, Elizabeth, Franktown, Castle Rock.",,,Monday 8pm. Colorado Link Digital Net. Repeater is used in DSTAR mode for this net.,,,,,Unknown,,,,,,,,,,yes,N0KEG (C) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,97.61,WSW,,08,8189,39.49420166,-104.83599854,447.525,442.525,203.5,,,,,,Douglas,On-Air,EmComm Colorado,Colorado ARES,,CCARC,2017-03-11,146.2,"Denver metropolitan area, front range foothills",,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,DM79NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,97.99,WSW,ON - IDLE,08,12216,39.75519943,-104.98699951,447.175,442.175,100,,,,,,Denver,On-Air,W0JRL,,,CCARC,2015-05-15,100,,,,,,,,,,,DM79MS,201712,,Standard AllStar Link access commands.,29997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,98.17,WSW,,08,75,39.73920059,-104.98400116,145.475,144.875,100,,,,,,Jefferson,On-Air,Intermountain Repeater Group,,Intermountain Repeater Group,CCARC,2015-05-22,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,98.17,WSW,,08,79,39.73920059,-104.98400116,146.715,146.115,123,,,,,,Denver,On-Air,EARS,,,CCARC,2017-04-09,123,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,98.17,WSW,,08,91,39.73920059,-104.98400116,448.075,443.075,123,,,,,,Denver,On-Air,W0IG,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,98.17,WSW,,08,93,39.73920059,-104.98400116,448.55,443.55,82.5,,,,,,Denver,Off-Air,HPRA,,,CCARC,2017-03-11,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,98.26,WSW,,08,8196,39.73759842,-104.98500061,447.925,442.925,100,,,,,,Denver,On-Air,RADOPS El Jebel Shriners,,,CCARC,2014-07-03,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,98.26,WSW,,08,8195,39.73759842,-104.98500061,447.9,442.9,CSQ,,,,,,Denver,Off-Air,WB0TPT,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,S,98.26,WSW,,08,8212,39.73759842,-104.98500061,449.65,444.65,,,,,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-16,,,,,,,,,,,,,,,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,S,98.26,WSW,,08,8213,39.73759842,-104.98500061,449.675,444.675,,,,,,,Denver,On-Air,Colorado Amateur Repeater Network (CARN),,,CCARC,2012-11-16,,,,,,,,,,,,,,7708,,,,,,yes,WR0AEN (B),jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.165,0.6,114.8,KC7SNO,Albin,WY,OPEN,,,98.42,NNW,,56,28,41.4178009,-104.09799957,147.165,147.765,114.8,,,,,,Laramie,On-Air,Shy-Wy Amateur Radio Club,,,WRCG,2017-01-04,,,"Full-time to 147.10500 (KC7SNO) at Cheyenne, North Park, WY . Full-time to 146.77500 (KC7SNO) at Cheyenne, Denver Hill, WY .",,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
