Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,AllStar,Nets,Web links,Feed,Coordination,Last update,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Location Photo,Grid,Affiliate,Notes,YSF Digital Enabled,DG-ID,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado,Colorado Chat,Bandwidth,Mixed-Mode,On-air,Commands,Central Regional,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Talkgroup Network,Northern Colorado Regional,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Worldwide,North America,English,Local/Cluster,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,REACT,CO-Park County,Europe,Southwest USA,Wyoming,WyLOCAL
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,,1.39,SSW,ON - IDLE,08,7185,38.43009949,-105.23200226,447.975,442.975,100,100,Fremont,On-Air,Canon City area. Repeater Coverage Map,K0JSC,Autopatch.,Full-time to the The Fun Machine System .,363976,7301,28368,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,http://www.k0jsc.com,Listen Live,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,,3.32,W,,08,278,38.45389938,-105.28600311,927.7,902.7,D114,,Fremont,On-Air,,Royal Gorge ARC,,,,,,,,,CCARC,2017-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,D,3.53,W,,08,7184,38.45420074,-105.29000092,446.7375,441.7375,,,Fremont,On-Air,Fremont county and state wide on Talk Slot 2. 40 mi radius. Repeater Coverage Map,,IPSC Link to the Colorado network on Talk Slot 2.,Full-time to the Colorado TRBO System .,,,,,http://www.k0jsc.com,,CCARC,2019-11-27,yes,7,310815,RMHR c Record retrieved from radioid.net,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",1,2,yes,DM78ii,Rocky Mountain Ham Radio,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,,3.53,W,ON - IDLE,08,8879,38.45420074,-105.29000092,447.25,442.25,100,100,Fremont,On-Air,Wide from Custer County to Park County and Chaffee County to Pueblo County. Repeater Coverage Map,,,Full-time to the The Fun Machine System .,363976,7301,28368,Region 2 District 2 ARES Net: Tue at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00. Region 5 District 1 ARES Net: Wed at 19:30. APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00.,K0JSC dot Com,Listen Live,CCARC,2013-01-27,,,,,,,,,yes,DM78ik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,,3.53,W,,08,29,38.45420074,-105.29000092,53.03,51.33,88.5,88.5,Fremont,On-Air,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",,,,,,Http://www.qsl.net/rghc,,CCARC,2012-07-10,,,,,,,,,,DM78IK,RGARC,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,3.53,W,,08,30,38.45420074,-105.29000092,145.49,144.89,103.5,103.5,Fremont,On-Air,,Royal Gorge Amateur Radio Club,E-power (Bat),,,,,RGARC Net: Wed at 19:00. ARES Net: Wed at 19:30.,Royal Gorge Amateur Radio Club,,CCARC,2017-03-11,,,,,,,,,yes,DM78ik,Colorado ARES Region 5 District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,,3.53,W,,08,31,38.45420074,-105.29000092,223.96,222.36,103.5,103.5,Fremont,On-Air,Wide area. Repeater Coverage Map,RGARC,"E-power (Bat), Remote Base",,,,,,,,CCARC,2017-10-04,,,,,,,,,yes,DM78IK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,,3.53,W,,08,32,38.45420074,-105.29000092,447.75,442.75,103.5,103.5,Fremont,On-Air,,RGARC,E-power (Bat),,,3081,,,Royal Gorge Amateur Radio Club,,CCARC,2017-03-11,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,67,WB0WDF,"Canon City, eightmile Mountain",CO,OPEN,,,9.11,NW,,08,33,38.53860092,-105.34899902,449,444,67,67,Fremont,On-Air,,WB0WDF,"E-power (Solar, Wind)",Full-time to the Mega-Link System .,,,,,Mega Link,,CCARC,2012-06-14,,,,,,,,,,DM78HM,,North of the Royal Gorge Bridge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,107.2,NX0G,Cripple Creek,CO,OPEN,,,20.69,N,,08,65,38.7466011,-105.1780014,147.015,147.615,107.2,,Teller,On-Air,,Mountain ARC,E-power.,"Full-time to 146.68500 (NX0G) at Lake George, Badger Mountain, CO . Full-time to 146.82000 (NX0G) at Woodland Park, CO . Full-time to 448.65000 (NX0G) at Woodland Park, CO . Full-time to 447.47500 (NX0G) at Colorado Springs, CO .",,,,MARC/PCRC: Tue at 19:30.,,,CCARC,2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
