Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Features,Web links,Coordination,Last update,Downlink Tone,Grid,Sponsor,Affiliate,Links,AllStar,Coverage,Notes,IRLP,Nets,On-air,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,EchoLink,Commands,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Central Regional,Northern Colorado Regional,Location Photo,Feed,Bandwidth,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,TAC 311,Colorado,Colorado Chat,Devilshead Local,Mixed-Mode,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local Network,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Local/Cluster,N. Colorado,Worldwide English,Mountain Reg USA
449.175,-5,127.3,KD5LWU,Cortez,CO,OPEN,E,,83.9,WSW,Node Offline,08,62,37.3489,-108.585,449.175,444.175,127.3,Montezuma,Off-Air,,,CCARC,2014-06-30,,,KD5LWU,,,,,,,,,,,,,,,24336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,84.3,NNE,,08,211,39.2131,-106.937,146.67,146.07,107.2,Pitkin,On-Air,Linked.,,CCARC,2012-11-10,,,Ski Country ARC,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,86.6,S,,35,15644,36.8,-107.62,147.36,147.96,100,San Juan,On-Air,,http://www.sjcham.com,NMFCC,2018-01-15,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,87.1,NW,,08,154,39.0539,-108.254,449.3,444.3,107.2,Mesa,On-Air,e-power Linked to GMRA Open System,http://www.gmra.org/,CCARC,2018-01-16,107.2,,,,,,Wide Area I-70 West Rifle to Western Utah,Closed IRLP out,3710,RACES Wed 1930 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,,87.3,SSE,,35,15079,36.91,-106.58,147.08,147.68,162.2,Rio Arriba,On-Air,,,NMFCC,2017-04-05,,,SFARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,87.7,NW,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,Mesa,On-Air,,,CCARC,2016-04-22,,,,,,,,,7963,,,,,,,,,312189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,88.2,NNW,,08,16721,39.0889,-108.227,446.9125,441.9125,,Mesa,On-Air,,,,2018-01-09,,,Bill Frost,,,,"Grand Junction, I70",Brandmeister network,,,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,90.6,NNW,,08,36,39.2406,-107.961,449.5,444.5,107.2,Mesa,Off-Air,E-power.,,CCARC,2016-07-01,,,Grand Mesa Repeater Association (GMRA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,91.3,SSW,,35,44,36.8222,-107.992,447.45,442.45,107.2,San Juan,On-Air,"E-power, remote base.",,NMFCC,2017-07-19,,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,91.3,SSW,,35,43,36.8222,-107.992,146.74,146.14,100,San Juan,On-Air,"Closed autopatch, e-power.",,NMFCC,2017-07-19,,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,91.4,SSW,,35,15629,36.8222,-107.993,146.88,146.28,100,San Juan,On-Air,,http://www.sjcham.com,NMFCC,2018-01-15,,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC1,N5UBJ,Aztec,NM,OPEN,,D,91.4,SSW,2,35,12413,36.8222,-107.993,442.25,447.25,,San Juan,On-Air,,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,2018-01-21,,,,,,,,,,,,yes,1,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,93.8,SSW,,35,16280,36.7823,-107.988,1291.1,1271.1,,San Juan,On-Air,DV only,,NMFCC,2019-05-12,,,San Juan County,,,,,,,,,,,,,,,,,yes,KF5VBE (A) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,93.9,SSW,,35,11428,36.7817,-107.99,145.115,144.515,,San Juan,On-Air,,,,2018-01-29,,,,,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,179.9,K0ELK,"Carbondale, Four Mile Ridge",CO,OPEN,IA,,94.7,N,,08,35,39.4,-107.315,449.725,444.725,179.9,Garfield,On-Air,EchoLink.,,CCARC,2012-11-10,,,Roaring Fork Amateur Repeater Cooperative (RFARC),,,28434,Wide area.,,3722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,94.7,N,,08,259,39.4,-107.315,147.39,147.99,107.2,Garfield,On-Air,,,,2016-07-14,,,Roaring Fork Amateur Repeater Cooperative,,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,,95.2,NE,,08,9840,38.8833,-105.933,448.575,443.575,103.5,Park,Off-Air,,,CCARC,2017-11-22,103.5,,,,"Full-time internet linked to  
146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,Western Park County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,88.5,KB0VJJ,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,96.5,N,,08,129,39.4264,-107.38,146.85,146.25,88.5,Garfield,On-Air,70,,CCARC,2016-05-23,123,,Colorado Connection,,,,"Wide area: Throughout the Roaring Fork Valley, Glenwood Canyon, East and West on I-70, and the Flattops Wilderness north of Glenwood.",Part of the Colorado Connection System of Repeaters,,Daily 7:30PM Local Time Central Colorado Traffic Net Thursdays 8:00PM Colorado Connection Net All Welcome Sundays 8:00PM Statewide ARES net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,96.5,N,,08,130,39.4264,-107.38,146.88,146.28,107.2,Garfield,On-Air,,,CCARC,2012-11-10,,,Ski Country ARC,,"Full-time to  
447.60000 (KI0G) at Glenwood Springs, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.1,-5,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,96.5,N,,08,132,39.4264,-107.38,447.1,442.1,107.2,Garfield,On-Air,,,CCARC,2012-11-10,,,Ski Country ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,N0XLI,"Glenwood Springs, Sunlight Peak",CO,OPEN,,,96.5,N,,08,255,39.4264,-107.38,449.6,444.6,107.2,Garfield,On-Air,e-power Linked to GMRA open system,http://www.gmra.org,CCARC,2018-01-15,,,,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,97.1,N,Node Offline,08,6009,39.4247,-107.097,447.15,442.15,136.5,Garfield,On-Air,,,,2011-08-01,,,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",,,,,,,,,,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,97.7,NW,,08,15581,39.052,-108.565,147.355,146.755,88.5,Mesa,On-Air,,,CCARC,2017-01-06,123,,Colorado Connection,,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,,K0SSI,Grand Junction,CO,OPEN,,,97.8,NW,,08,8175,39.0639,-108.551,147.105,147.705,,Mesa,On-Air,,,CCARC,2013-04-20,,,K0SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,,KB0SW,Grand Junction,CO,CLOSED,,,97.8,NW,,08,8206,39.0639,-108.551,449,444,,Mesa,On-Air,,,CCARC,2015-08-03,107.2,,KB0SW,Grand Mesa Repeater Assoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,114.8,KC0ARV,Grand Junction,CO,OPEN,,,97.8,NW,,08,3757,39.0638,-108.551,447.5,442.5,114.8,Mesa,,,,CCARC,2012-11-10,,,KC0ARV,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.775,-5,,KD0RED,Grand Junction,CO,OPEN,,S,97.8,NW,,08,11792,39.0639,-108.551,446.775,441.775,,Mesa,On-Air,,,,2014-08-16,,,,,,,,,,,,,,,,,,,,yes,KD0RED (B) Gateway Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,173.8,KD0SMZ,Grand Junction,CO,OPEN,EI,,97.8,NW,ON        - IDLE,08,11793,39.0639,-108.551,449.775,444.775,173.8,Mesa,On-Air,,,CCARC,2015-10-25,88.5,,,,,,,,7573,,,,,,,,,7572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.22,-0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,97.8,NW,,08,8167,39.0639,-108.551,145.22,144.62,107.2,Mesa,,,,CCARC,2012-11-12,,,KE0TY,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,107.2,KE0TY,Grand Junction,CO,OPEN,,,97.8,NW,,08,152,39.0639,-108.55,147.39,147.99,107.2,Mesa,,Linked.,,CCARC,2012-11-10,,,KE0TY,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,W0GJT,"Grand Junction, 9 Mile, Hwy 141, Unaweep",CO,OPEN,A,,97.8,NW,,08,261,39.0639,-108.55,146.82,146.22,107.2,Mesa,On-Air,,,CCARC,2019-02-12,,,,,,43554,Wide area: North Western Colorado - South to Montrose and East on I-70.,,,,,,,,,,,,Enter *83 node# to link. *81 Unlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,98.3,SSW,,35,50,36.7111,-107.984,146.92,146.32,100,San Juan,On-Air,,,NMFCC,2017-08-25,,,San Juan County OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,98.3,SSW,,35,16636,36.7111,-107.985,448.65,443.65,127.3,San Juan,On-Air,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,98.9,SSW,,35,11429,36.65,-107.791,1292.3,1272.3,,San Juan,On-Air,,,NMFCC,2018-02-02,,,San Juan County,,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,99.5,NW,,08,147,39.1173,-108.522,145.175,144.575,107.2,Mesa,On-Air,"E-power,",,CCARC,2016-05-11,,,,,,,Greater grand Junction area.,,3161,,,,,,,,,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,100.8,ESE,,08,15584,38.1347,-105.466,448.325,443.325,100,Custer,On-Air,,,,2017-01-06,100,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,100.8,NNE,,08,10827,39.2508,-106.293,147.24,147.84,156.7,Lake,Off-Air,,,CCARC,2016-06-30,156.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,100.8,ESE,,08,8218,38.1347,-105.466,919.1,894.1,88.5,Pueblo,Off-Air,,,CCARC,2016-07-14,CSQ,,Pueblo HC,,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,100.9,ESE,,08,7189,38.1347,-105.465,147.06,147.66,77,Custer,On-Air,E-power,,CCARC,2012-06-14,77,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,100.9,ESE,,08,248,38.1347,-105.465,448.15,443.15,103.5,Custer,On-Air,E-power.,http://www.qsl.net/rghc,CCARC,2017-03-11,103.5,,Royal George ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,100.9,ESE,,08,7192,38.1347,-105.465,927.775,902.775,D116,Custer,On-Air,,,CCARC,2012-06-14,D116,,Royal Gorge Amateur Radio Club,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,101.8,SSW,,35,49,36.61,-107.81,147.1,147.7,100,San Juan,On-Air,,http://www.sjcham.com,NMFCC,2018-01-15,,,San Juan connection,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,102,SSW,,35,51,36.6067,-107.805,147.28,147.88,67,San Juan,On-Air,6,,NMFCC,2018-01-07,,,,,Full-time to the  Mega-Link System .,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,K5WXI,Farmington,NM,OPEN,,,102.7,SSW,,35,85,36.7281,-108.218,146.85,146.25,100,San Juan,On-Air,Closed autopatch.,,NMFCC,,100,,Totah ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,100,K5WY,Farmington,NM,OPEN,,,102.7,SSW,,35,87,36.7281,-108.218,449,444,100,San Juan,,E-power.,,NMFCC,,,,K5WY,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.01,-1,131.8,KB5ITS,Farmington,NM,OPEN,,,102.7,SSW,,35,81,36.7281,-108.218,53.01,52.01,131.8,San Juan,On-Air,,,NMFCC,2017-07-02,,,KB5ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KB5ITS,Farmington,NM,OPEN,,,102.7,SSW,,35,84,36.7281,-108.218,146.76,146.16,100,San Juan,On-Air,"Closed autopatch, e-power.",http://www.sjcham.com,NMFCC,2018-01-15,100,,,,Full-time to the  San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,100,KB5ITS,Farmington,NM,OPEN,,,102.7,SSW,,35,86,36.7281,-108.218,147,147.6,100,San Juan,On-Air,"Autopatch, e-power.",,NMFCC,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.15,5,,KF5VBF,Farmington,NM,OPEN,,S,102.7,SSW,,35,15650,36.7281,-108.219,444.15,449.15,,San Juan,On-Air,DV only,,,2018-02-02,,,San Juan County,,,,,,,,,,,,,,,,,yes,KF5VBF (B) Repeater,"jfindu lookup 
/  dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.325,5,CC1,N5UBJ,Farmington,NM,OPEN,,D,102.7,SSW,2,35,12412,36.7281,-108.219,442.325,447.325,,San Juan,On-Air,AZ-TRBONET,http://www.aztrbonet.com/MinimalNetwatch,NMFCC,2018-01-19,,,,,,,,,,,,yes,1,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Worldwide  1  1  PTT    North America  1  3  PTT    English  1  13  Full-Time      2    Full-Time    Europe  2  2  Full-Time    TAC 310  2  310  PTT    DCI Bridge  2  3100  PTT    Southwest USA  2  3176  PTT  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,N0SWE,Rifle,CO,OPEN,E,,102.8,NNW,Node Offline,08,200,39.4745,-107.772,146.76,146.16,107.2,Garfield,Off-Air,E-power.,,CCARC,2015-06-03,,DM69cl,"N0SWE,  Roaring Fork Amateur Repeater Cooperative",,,,"New Castle, Silt, Rifle and Rulison and areas around Parachute.",,,,,,,,,,,243117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
