Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,EchoLink,AllStar,Nets,Coordination,Last update,Web links,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Notes,Coverage,Features,Links,Affiliate,On-air,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,IRLP,Grid,Commands,Mixed-Mode,YSF Digital Enabled,DG-ID,P25 Digital Enabled,NAC,Default Reflector,Location Photo,Central Regional,Northern Colorado Regional,Feed,Eastern Colorado,Local/Cluster,WIRES-X,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Data,DMRX 1,Utah Statewide 2,TAC 311,USA,Utah,Mountain Reg USA,PA (PA-525),Hytera USA,SNARS,Parrott,Audio Test,All TG's Off,All TG's On,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2
448.625,-5,,N7MK,"Flagstaff, Mt. Elden",AZ,CLOSED,,221.9,SW,yes,04,334,35.255,-111.609,448.625,443.625,,,Coconino,On-Air,SARBA,,,,ARCA,,,,,,,,,,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.45,-0.6,103.5,NO7AZ,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,12310,35.255,-111.609,145.45,144.85,103.5,,Coconino,On-Air,,,,,ARCA,2018-06-03,NO7AZ,,,,,,,"NO7AZ Flagstaff has two Repeaters Located on top of 9300' Mt Eldon, VHF 145.450 - Analog/MotoTrbo and UHF 449.325 HF Link MotoTrbo (Closed), that I use for creating RediLynx Icom Commander software to operate your Home 2m/70cm station from your Cellphone, as if it were an HT.",,"E-power, closed autopatch.",,,,,,,,,,,,,,,,DM45eg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,NO7AZ,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,13009,35.255,-111.609,449.325,444.325,103.5,,Coconino,On-Air,NO7AZ,,,,ARCA,2018-06-03,,,,,,,,,,"E-power, closed autopatch.",,,,,,,,,,,,,,,,DM45eg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,162.2,W7ARA,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,100,35.255,-111.609,146.98,146.38,162.2,,Coconino,On-Air,Arizona Rptr Assoc,,,,ARCA,2018-07-10,,,,,,,,928,,"Autopatch, e-power.",,,,,,,,,,,,,,,,,Autopatch: On- * + area code + phone number/Off- #.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,162.2,W7ARA,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,115,35.255,-111.609,147.14,147.74,162.2,,Coconino,On-Air,Arizona Repeater Assoc,,,2100,ARCA,2018-11-22,Arizona Repeater Assoc,,,,,,,,,E-power.,Full-time to the  Arizona Rptr Assoc (Rimlink) System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.475,-5,100,W7ARA,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,324,35.255,-111.609,448.475,443.475,100,,Coconino,On-Air,Arizona Repeater Assoc,,,,ARCA,2018-11-22,,,,,,,,Autopatch limited to the 928 area code.,,E-power.,,,,,,,,,,,,,,,,DM45eg,Autopatch: On- * + area code + phone number/Off- #.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.875,-5,100,W7ARA,"Flagstaff, Mt. Elden",AZ,OPEN,,221.9,SW,yes,04,352,35.255,-111.609,448.875,443.875,100,,Coconino,On-Air,Arizona Repeater Assoc,,,,ARCA,2018-11-22,Arizona Repeater Assoc,,,,,,,"Linked to The Intermountain Intertie via the Navajo Mt Repeater, in Page, Arizona.",,E-power.,"Full-time to  
        448.60000 (WA7VHF) at Page, Navajo Mountain, UT .
 


Full-time to the  Intermountain Intertie System .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.45,-0.6,,KB5WEZ,Las Vegas,NM,OPEN,,222.7,SE,yes,35,113,35.5939,-105.223,145.45,144.85,,,San Miguel,Off-Air,KB5WEZ,,,,NMFCC,2017-08-22,,,,,,,,,Wide area.,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.675,-5,179.9,KA0WUC,Woodland Park,CO,OPEN,,222.8,E,yes,08,8193,38.9939,-105.057,447.675,442.675,179.9,179.9,Teller,On-Air,Mountain Amateur Radio Club (MARC),,,,CCARC,2014-05-22,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.9,-25,D205,KA0WUC,Woodland Park,CO,OPEN,,222.8,E,yes,08,3750,38.9938,-105.057,927.9,902.9,D205,D205,Teller,On-Air,MARC,,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.325,-5,103.5,KA4EPS,"Woodland Park, Paradise Pines",CO,OPEN,A,222.8,E,yes,08,9503,38.9939,-105.057,449.325,444.325,103.5,103.5,Teller,On-Air,KA4EPS,,27976,"Sunday 1500 MST
Tuesday 1730 MST",CCARC,2015-06-29,,,,,,,,Node # 27976,"Small coverage repeater node covering Woodland Park, CO when not linked. When linked to the Florida hub, coverage from Key West to Port. St John Florida can be expected.",E-power. Allstar Node 27976,,Amateur Radio Motorcycle Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.415,-0.6,179.9,KA0WUC,Woodland Park,CO,OPEN,,222.9,E,yes,08,249,38.9939,-105.056,145.415,144.815,179.9,,Teller,,MARC,,,,CCARC,2012-11-12,,,,,,,,,,"Closed autopatch, e-power.",,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.025,-5,141.3,KA0WUC,Woodland Park,CO,OPEN,,222.9,E,yes,08,252,38.9939,-105.056,449.025,444.025,141.3,,Teller,,Mountain Amateur Radio Club (MARC),,,,CCARC,2012-11-10,,,,,,,,,,Linked.,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,107.2,NX0G,Woodland Park,CO,OPEN,,222.9,E,yes,08,250,38.9939,-105.056,146.82,146.22,107.2,,Teller,On-Air,Mountain ARC,,,MARC/PCRC: Tue at 19:30.,CCARC,2016-11-17,,,,,,,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        448.65000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,107.2,NX0G,Woodland Park,CO,OPEN,,222.9,E,yes,08,251,38.9939,-105.056,448.65,443.65,107.2,,Teller,On-Air,Mountain ARC (MARC),,,MARC/PCRC: Tue at 19:30.,CCARC,2016-11-17,,,,,,,,,,E-power.,"Full-time to  
        146.68500 (NX0G) at Lake George, Badger Mountain, CO .
 


Full-time to  
        146.82000 (NX0G) at Woodland Park, CO .
 


Full-time to  
        147.01500 (NX0G) at Cripple Creek, CO .
 


Full-time to  
        447.47500 (NX0G) at Colorado Springs, CO .",MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,223.2,E,yes,08,41,38.7372,-104.881,146.76,146.16,107.2,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group,,,,CCARC,2018-01-15,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,223.2,E,yes,08,269,38.7372,-104.881,448,443,107.2,,El Paso,On-Air,,,,,CCARC,2018-01-15,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.1,-5,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,223.2,E,yes,08,53,38.7372,-104.881,448.1,443.1,107.2,107.2,El Paso,On-Air,,,,,CCARC,2018-01-15,CMRG Repeaters,,,,,,,,Wide area.,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,107.2,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,I,223.3,E,yes,08,47,38.7372,-104.88,147.345,147.945,107.2,107.2,El Paso,On-Air,,,,,CCARC,2018-01-15,http://www.cmrg.org/,,,,,,,,Wide area.,"Closed autopatch, e-power.","Full-time to  
        927.85000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to the  Cheyenne Mtn Repeater Group System .",,,,,,,,,,,,,,3854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.16,-0.6,107.2,W0CRA,"Colorado Springs, Cheyenne Mountain",CO,OPEN,EI,223.3,E,yes,08,38,38.7372,-104.88,145.16,144.56,107.2,107.2,El Paso,On-Air,Colorado Repeater Association,347086,,,CCARC,2017-11-13,http://www.w0cra.org/info/cosprgs.html#145160,,,,,,,Switch to this repeater at mile marker 170 on I-25.,"Wide area: Colorado Springs, Pueblo, and other areas of southeast and south central Colorado.","Closed autopatch, e-power.","Full-time to  
        145.46000 (W0CRA) at Boulder, Eldorado Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",CRA VHF Link System,,,,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC6,N0SZ,Westcreek,CO,OPEN,,223.6,NE,yes,08,15900,39.1525,-105.164,446.875,441.875,,,Douglas,On-Air,W0VG,,,,CCARC,2018-01-27,http://www.rmham.org,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Southern Colorado  2  719  Full-Time    Central Regional  2  720  Full-Time    Northern Colorado Regional  2  721  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,2,,,,Full-time to the  Colorado TRBO System .,RMHAM,,,,,RMHAM,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.13,-0.6,88.5,KB0VJJ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,37,38.7452,-104.862,145.13,144.53,88.5,123,El Paso,On-Air,Colorado Connection,,,"Colorado Traffic Net: Daily at 19:00. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00. 
Colorado Preparedness Net: Sat at 09:30",CCARC,2016-04-03,,,,,,,,Linked into the Colorado Connection System,Wide area: South toward Pueblo and north to Monument. Decent coverage to the east. Little coverage to the west.,9,Full-time to the  Colorado Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.375,-0.6,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,8088,38.7445,-104.862,145.375,144.77,,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,,,CCARC,2018-07-15,http://www.cmrg.org,,,,,,,Repeater off air for now.,wide area,,,,,yes,KC0CVU (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,8087,38.7451,-104.862,446.9125,441.9125,,,El Paso,Off-Air,Cheyenne Mountain Repeater Group (CMRG),,,,,2019-01-08,,,,,,,,This DStar repeater is up but not truly functional. It serves as a local repeater presently as it is not connected to the internet for now.,,,,,,yes,KC0CVU (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.85,-25,D114,KC0CVU,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,7171,38.745,-104.862,927.85,902.85,D114,,Teller,On-Air,CMRG,,,,CCARC,2017-03-09,http://www.cmrg.org,,,,,,,,,9,"Full-time to  
        147.34500 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        448.10000 (KC0CVU) at Colorado Springs, Cheyenne Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.0625,-5,CC1,N0SZ,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,12355,38.7451,-104.862,445.0625,440.0625,,,El Paso,Off-Air,Rocky Mountain Ham Radio,,,,CCARC,2017-03-11,,yes,1,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide  1  1      North America  1  3      Local/Cluster  2  2    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",,,,,The DMR-MARC Worldwide Network,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
53.13,-1.7,107.2,WA6IFI,"Colorado Springs, Cheyenne Mountain",CO,OPEN,,224.4,E,yes,08,8158,38.745,-104.862,53.13,51.43,107.2,107.2,El Paso,On-Air,Cheyenne Mountain Repeater Group (CMRG),,,,CCARC,2017-03-09,http://www.cmrg.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,224.9,SE,yes,35,15621,35.984,-104.901,145.37,144.77,141.3,,Mora,Off-Air,NMEMA ARC,,,,NMFCC,2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,67,NM5ML,"Wagon Mound, Turkey Mountain",NM,OPEN,,224.9,SE,yes,35,11289,35.9843,-104.901,147.2,147.8,67,,Mora,On-Air,,,,,,2017-01-24,http://nm5ml.com/,,,,,,,,,8,Full-time to the  Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC6,K0JSC,Pueblo,CO,OPEN,,225.4,E,yes,08,10785,38.2307,-104.611,446.9875,441.9875,,,Pueblo,Off-Air,,,,,CCARC,2017-01-02,Rocky Mountain Ham Radio,yes,6,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Rocky Mountain Wide  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,Full-time to the  Colorado TRBO System .,RMHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,225.4,E,yes,08,9527,38.2305,-104.611,447.275,442.275,100,100,Pueblo,On-Air,,,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00.",CCARC,2017-01-06,The Fun Machine,,,,,,,"Moved to Pueblo.  Now called ""Pueblo Metro""",,,Full-time to the  The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,225.4,E,yes,08,3747,38.2306,-104.611,147.24,147.84,103.5,CSQ,Pueblo,Off-Air,TARA,,,,CCARC,2012-06-13,,,,,,,,,Pueblo and Fremont Counties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,N7GGN,"Holden, Beesting Peak",UT,OPEN,,225.7,WNW,yes,49,137,39.0417,-112.142,147.1,147.7,100,,Sevier,On-Air,,,,,UVHFS,2017-08-24,http://www.skylineradioclub.com/repeaters.html,,,,,,,,"Wide area: West Desert, Nephi to Delta, Fillmore to Manti, Mt. Pleasant, Richfield",Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,225.9,E,yes,08,192,38.2544,-104.609,146.655,146.055,123,CSQ,Pueblo,On-Air,K0ST,,,,CCARC,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC0 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,225.9,E,yes,08,8530,38.2544,-104.609,447.7,442.7,210.7,210.7,Pueblo,Off-Air,,,29228,,CCARC,2017-01-02,,yes,0,,,,,,,,,,,,,,,,,,,,,,7389,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,225.9,E,yes,08,189,38.2544,-104.609,449.725,444.725,100,,El Paso,On-Air,N0PWZ,,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,ND0Q,Pueblo,CO,OPEN,,225.9,E,yes,08,191,38.2544,-104.609,145.115,144.515,88.5,,Pueblo,Off-Air,Pueblo Ham Club,,,,CCARC,2012-11-12,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,88.5,ND0Q,"Pueblo, Deer Peak",CO,OPEN,,225.9,E,yes,08,194,38.2544,-104.609,146.88,146.28,88.5,CSQ,Pueblo,On-Air,Pueblo HC,,,,CCARC,2017-10-24,,,,,,,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.725,-5,123,KA0TTF,"Colorado Springs, Fillmore Hill",CO,OPEN,,226,E,yes,08,56,38.78,-104.85,448.725,443.725,123,,El Paso,On-Air,KA0TTF,,,,CCARC,2016-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.55,-5,88.5,N6JOY,Flagstaff,AZ,OPEN,W,226.3,SW,yes,04,14757,35.1983,-111.651,446.55,441.55,,,Coconino,On-Air,N6JOY,,,,,2019-02-03,,,,,,,,,"West along Interstate 40 to around Bellmont, east along I-40 to Twin Arrows",223.5,,,,,,,,,,,,,,,,DM45ee,none,,yes,Open ↑ / Open ↓,,,,,,,,,,18212,,,,,,,,,,,,,,,,,,,,,,,,,
