Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,County,Op Status,Last update,Downlink Tone,Coverage,AllStar,Sponsor,Notes,Coordination,Grid,Affiliate,Links,Web links,Features,EchoLink,IRLP,Nets,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,On-air,Location Photo,Feed,Central Regional,Mixed-Mode,Commands,Eastern Colorado,P25 Digital Enabled,NAC,Default Reflector,YSF Digital Enabled,DG-ID,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,Local/Cluster,Northern Colorado Regional,Devilshead Local,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,WIRES-X,Local Network,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,N. Colorado,Worldwide English,Colorado,Mountain Reg USA
447.1,-5,77,N0KM,Center,CO,OPEN,,13.9,E,yes,08,16645,37.75,-106.115,447.1,442.1,77,Saguache,On-Air,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,77,N0KM,Center,CO,OPEN,A,14.3,E,yes,08,14200,37.7531,-106.109,146.64,146.04,77,Rio Grande,On-Air,2016-12-25,77,Low level local coverage,28781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,33.4,WNW,yes,08,63,37.8492,-106.926,146.925,146.325,,Mineral,Off-Air,2012-11-12,,,,Creede ARC,WA0JS license expired,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,39.1,WNW,yes,08,14923,37.7933,-107.055,449.525,444.525,100,Mineral,On-Air,2017-01-06,100,,43265,N0PKT,,,DM67lt,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,53,SW,yes,08,188,37.193,-107.1,146.61,146.01,123,Archuleta,On-Air,2018-01-15,,,,,,CCARC,,,,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,162.2,W5SF,"Chama, Overlook Mtn",NM,OPEN,,54.6,SSW,yes,35,15079,36.91,-106.58,147.08,147.68,162.2,Rio Arriba,On-Air,2017-04-05,,,,SFARC,,NMFCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Salida, Methodist Mountain",CO,OPEN,EIA,56.2,NNE,yes,08,13510,38.4463,-106.011,449.975,444.975,100,Chaffee,On-Air,2017-03-11,100,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass,28368,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,CCARC,DM68xk,,Full-time to the  The Fun Machine System .,K0JSC.COM,2,363976,7301,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,56.5,NNE,yes,08,205,38.4528,-106.018,449.65,444.65,107.2,Chaffee,On-Air,2018-01-15,,Wide area.,,,,CCARC,,,,CMRG Repeaters,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.925,-5,103.5,WZ0N,"Salida, Methodist Mountain",CO,OPEN,,56.5,NNE,yes,08,3811,38.4528,-106.018,449.925,444.925,103.5,Chaffee,On-Air,2013-07-05,103.5,"Upper Arkansas and Platte Rivers, and the SLV",,,Identifies with an 'M' following WZ0N callsign which identifies the site as Methodist.,CCARC,,Colorado ARES,,,E-power (Bat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Salida, Methodist Mountain",CO,OPEN,,57.1,NNE,yes,08,204,38.4596,-106.011,147.285,147.885,88.5,Chaffee,On-Air,2016-05-23,123,"Wide area: South Park, Gunnison, Pueblo, and the San Luis Valley south to New Mexico. At extremes, it has been worked from east of Montrose and Blue Mesa Resevoir, on Fremont Pass near Climax, in and around Bailey on U.S. 285, and south toward Trinidad on Interstate 25.",,Colorado Connection,,CCARC,,,Full-time to the  Colorado Connection System .,,11,,,"Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES Net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.295,-0.6,107.2,KC0CVU,"Salida, Methodist Mountain",CO,OPEN,,57.1,NNE,yes,08,203,38.4596,-106.011,145.295,144.695,107.2,Chaffee,On-Air,2015-01-30,,Wide area.,,Cheyenne Mtn Repeater Group,,CCARC,DM78ik,,,CMRG Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,100,KD0MRC,"Maysville, CO",CO,OPEN,,57.2,N,yes,08,16739,38.5063,-106.345,145.325,144.725,100,Chaffee,On-Air,2018-01-14,,wide area,,Chaffee Lake Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,57.7,E,yes,08,15584,38.1347,-105.466,448.325,443.325,100,Custer,On-Air,2017-01-06,100,,,,,,,The Fun Machine,Full-time to the  The Fun Machine System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,57.7,E,yes,08,8218,38.1347,-105.466,919.1,894.1,88.5,Pueblo,Off-Air,2016-07-14,CSQ,Wide area.,,Pueblo HC,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,08,7189,38.1347,-105.465,147.06,147.66,77,Custer,On-Air,2012-06-14,77,,,http://www.qsl.net/rghc,,CCARC,,,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,57.8,E,yes,08,248,38.1347,-105.465,448.15,443.15,103.5,Custer,On-Air,2017-03-11,103.5,,,Royal George ARC,,CCARC,,,,http://www.qsl.net/rghc,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
