Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Grid,Op Status,Coverage,Sponsor,Features,Links,EchoLink,IRLP,Nets,Web links,Coordination,Last update,Bandwidth,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,On-air,Commands,YSF Digital Enabled,DG-ID,WIRES-X,Affiliate,Mixed-Mode,Notes,Talkgroups,Local/Cluster,Central Regional,Colorado,REACT,CO-Park County,AllStar,Rocky Mountain Wide,Feed,Southern Colorado,D-STAR Enabled,Node,Sources,TAC 310,TAC 311,Colorado Chat,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,Location Photo,Local Network,Devilshead Local,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Local or Reflector,Kansas,CKRG,KansasLink,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X
146.61,-0.6,123,W0QS,Hugoton,KS,OPEN,,,93.86,SE,,20,18554,37.1753006,-101.34960175,146.61,146.01,123,123,Graham,,On-Air,,,,,,,,,,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.35,0.6,88.5,,Boise City,OK,OPEN,,,94.01,S,,40,3790,36.72940063,-102.51300049,147.35,147.95,88.5,88.5,Cimarron,,On-Air,"Provides linked coverage to SW KS, OK Panhandle, and the TEXAS panhandle.",CAPROCK / DUST BOWL INTERTIE,,,,,,,,2016-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,103.5,KE0AE,Genoa,CO,OPEN,A,,94.09,NNW,,08,128,39.26879883,-103.48799896,147.06,147.66,103.5,,Lincoln,DM89GG,On-Air,"I-70, US-71, US-287, US-40, US-24",BSARC,"APRS repeater / weather station, remote base, e-power (solar - completely off the electrical grid).",,,,Big Sandy Net: Tues 19:00,http://www.bigsandyradio.com/,CCARC,2019-07-21,,,,,,,,,,,,,,,,,,,,,42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC,K0RTS,"Genoa, Limon",CO,OPEN,,D,94.98,NNW,,08,13581,39.27830124,-103.5,446.7375,441.7375,,,Lincoln,,On-Air,"I-70 H-40 H-287 Arriba, Genoa, Hugo, Limon 50 mile radius",K0RTS KC0VJD,,,,,,,CCARC,2019-11-27,,yes,8,310829,RMHAM c Record retrieved from radioid.net,,,,,,,RMHam,,Colorado on TG700 Slot 1 Denver on TG720 Slot 2,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Central Regional 2 720 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.91,-0.6,141.3,WA0OQA,Garden City,KS,OPEN,A,,95.47,ESE,,20,3959,37.97169876,-100.8730011,146.91,146.31,141.3,141.3,Finney,,On-Air,"Finney, Scott and Kearney counties.",Sand Hills ARC,E-power.,"Full-time to 146.70000 (WA0OQA) at Scott City, KS .",,,Tue at 20:30.,,Kansas Repeater Council,2018-09-16,,,,,,,,,,,,,,Linked full time to Scott City 146.700 and Lakin 146.985 repeaters.,,,,,,,48588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,W0MI,"Scott City, K-Link",KS,OPEN,,,95.98,E,,20,6463,38.48089981,-100.9240036,444.95,449.95,100,100,Scott,DM98ML,Off-Air,Click for coverage map. 35 mi radius.,SHARC,Internet Linked to K-Link Repeater Network.,Full-time internet linked to the K-Link System .,,,,http://ks0lnk.net,Kansas Repeater Council,2019-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,,K0ECT,Ulysses,KS,OPEN,,,97.35,SE,,20,3979,37.24000168,-101.1989975,147.06,147.66,,,Grant,DM97JF,On-Air,Local,SKECT,,,,,,,Kansas Repeater Council,2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,141.3,K0ECT,"Garden City, Tennis",KS,OPEN,I,,99.07,ESE,,20,4046,38.16400146,-100.8010025,442.5,447.5,141.3,141.3,Finney,DM98OD,On-Air,,SKECT,E-power.,Full-time to the SKECT System .,,3885,,http://skect.org/default.aspx,Kansas Repeater Council,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Pueblo, Cedarwood",CO,OPEN,EIA,,101.69,W,ON - IDLE,08,5369,38.0340004,-104.48899841,449.975,444.975,100,100,Pueblo,DM78SA18,On-Air,I-25 from Walsenburg to Wyoming and US-50 from La junta to Monarch Pass Repeater Coverage Map,K0JSC,2,"Linkable to 146.79000 (W0PHC) at Pueblo, Baculite Mesa, CO . Linkable to 146.88000 (W0PHC) at Pueblo, 12 Mile Hill, CO . Linkable to 145.49000 (WD0EKR) at Canon City, Fremont Peak, CO . Linkable to 145.13000 (KB0VJJ) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO . Linkable to 145.46000 (WB0WDF) at Cripple Creek, CO . Full-time to the The Fun Machine System . 146.43000 simplex. 146.44500 simplex.",363976,7301,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. RGARC Net: Wed at 19:00.,K0JSC dot Com,CCARC,2017-03-11,,,,,,,,,,,,,,Can be linked to various local repeater systems via the remote base. Echolink/IRLP connects restricted. Email me to be added to the authorized list.,,,,,,,28368,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.73,-0.6,88.5,W0PHC,"Walsenburg, N Rattlesnake Butte",CO,OPEN,,,102.35,WSW,,08,247,37.77190018,-104.45600128,146.73,146.13,88.5,,Huerfano,DM77SS,On-Air,"Wide area: Pueblo, Huerfano, Otero, and Las Animas Counties.",Pueblo Amateur Radio Club,6,,,,,Pueblo Ham Club,CCARC,2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,141.3,K0ECT,Elkader,KS,OPEN,,,103.88,E,,20,4100,38.78499985,-100.92099762,444.3,449.3,141.3,141.3,Logan,DM98MS,On-Air,,SKECT,E-power.,Full-time to the SKECT System .,,,,http://skect.org/default.aspx,Kansas Repeater Council,2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,W0PHC,"Pueblo, Baculite Mesa",CO,OPEN,,,106.96,W,,08,193,38.36240005,-104.55999756,146.79,146.19,88.5,,Pueblo,DM78ri,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,,,,,Pueblo Amateur Radio Club,CCARC,2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,CC 88.5,W0PHC,Pueblo,CO,OPEN,,D,106.96,W,,08,198,38.36240005,-104.55999756,447.95,442.95,88.5,,Pueblo,DM78ri,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,,,,,Pueblo Amateur Radio Club,CCARC,2019-12-10,,yes,0,,c Record retrieved from radioid.net,,,,,,,,Yes; analog capable.,Dual Mode Analog/DMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,,107.06,WNW,,08,195,38.39250183,-104.55500031,224.26,222.66,88.5,,Pueblo,,Off-Air,Wide area.,Pueblo Ham Club,E-power.,,,,,PHC repeaters,CCARC,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9875,-5,CC,K0JSC,Pueblo,CO,OPEN,,D,108.57,W,,08,10785,38.23070145,-104.61100006,446.9875,441.9875,,,Pueblo,DM78QF,Off-Air,,,,Full-time to the Colorado TRBO System .,,,,Rocky Mountain Ham Radio,CCARC,2019-11-27,,yes,6,310821,RMHR c Record retrieved from radioid.net,,,,,,,RMHAM,,,"Open Talkgroup View Assignment TS TG Access Rocky Mountain Wide 1 700 Southern Colorado 2 719 function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.275,-5,100,K0JSC,"Pueblo, Metro",CO,OPEN,,,108.57,W,,08,9527,38.23049927,-104.61100006,447.275,442.275,100,100,Pueblo,DM78QF,On-Air,,,,Full-time to the The Fun Machine System .,,,APRS Net: Sun at 19:00. Region 5 District 2 ARES Net: Sun at 19:30. Statewide ARES Net: Sun at 20:00. Region 5 District 1 ARES Net: Mon at 19:00. EOSS Net: Tue at 20:00. RGARC Net: Wed at 19:00.,The Fun Machine,CCARC,2017-01-06,,,,,,,,,,,,The Fun Machine,,"Moved to Pueblo. Now called ""Pueblo Metro""",,,,,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,103.5,KJ0T,Pueblo,CO,OPEN,,,108.57,W,,08,3747,38.23059845,-104.61100006,147.24,147.84,103.5,,Pueblo,DM78QF,Off-Air,Pueblo and Fremont Counties,TARA,,,,,,,CCARC,2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.655,-0.6,123,K0ST,"Pueblo, Pueblo",CO,OPEN,,,108.61,W,,08,192,38.25439835,-104.60900116,146.655,146.055,123,,Pueblo,,On-Air,,K0ST,,,,,,,CCARC,2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.7,-5,CC 210.7,KF0KR,"Pueblo, Pueblo",CO,PRIVATE,IA,D,108.61,W,,08,8530,38.25439835,-104.60900116,447.7,442.7,210.7,210.7,Pueblo,,Off-Air,,,,,,7389,,,CCARC,2019-11-27,,yes,1,310805,KFKR- c Record retrieved from radioid.net,,,,,,,,Yes; analog capable.,,,,,,,,29228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.725,-5,100,N0PWZ,Palmer Divide,CO,OPEN,I,,108.61,W,,08,189,38.25439835,-104.60900116,449.725,444.725,100,,El Paso,,On-Air,,N0PWZ,,,,3043,,,CCARC,2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.25,-5,123,K0UPS,Cedar Point,CO,OPEN,EI,,109.11,NW,ON - IDLE,08,9583,39.37030029,-103.8010025,449.25,444.25,123,123,Elbert,DM89CI,On-Air,"I-70 Limon, Co area.",K0UPS Club c/o N1UPS,Full duplex node.,,3349,3349,,,CCARC,2014-09-02,,,,,,,,** [StarStar] Prefix for Echolink Node.,,,,,,"K0UPS Buster Brown Radio Club. North West of Limon, Colorado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NE0Z,"Pueblo, CSU",CO,PRIVATE,,,109.61,W,,08,8173,38.30690002,-104.62000275,147,147.6,,,Pueblo,DM78QH,On-Air,,Carl Higbee,,,,,,,CCARC,2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,88.5,W0PHC,Pueblo,CO,OPEN,,,111.46,W,,08,191,38.2521019,-104.66200256,145.115,144.515,88.5,,Pueblo,DM78qg,On-Air,,Pueblo Amateur Radio Club,E-power.,,,,,http://www.puebloradio.org/,CCARC,2019-12-10,6.25,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.105,0.6,107.2,WA0DE,Simla,CO,OPEN,,,111.72,NW,,08,12167,39.22669983,-104.08999634,147.105,147.705,107.2,107.2,Elbert,DM79WF,On-Air,"I-70, E. Arapahoe, Elbert, Lincoln Counties 40 mi radius.",ARES of Douglas and Elbert Counties,Linked to CRA 448.425 - WestCreek,"Full-time to 448.42500 (W0CRA) at Larkspur, Westcreek, CO .",,,,http://www.w0cra.org/,CCARC,2020-02-11,,,,,,,,,,,,Colorado Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.85,-0.6,100,N5BOP,Des Moines,NM,OPEN,,,113.25,SW,,35,73,36.76110077,-103.83399963,146.85,146.25,100,,Union,,Off-Air,Wide area.,Sierra Grande RC,E-power.,,,,,,NMFCC,2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,,113.25,SW,,35,74,36.76110077,-103.83399963,444.8,449.8,77,,Union,,Off-Air,Wide area.,Sierra Grande Repeater Club,E-power.,,,,,,NMFCC,2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.175,0.6,141.3,NM5EM,"Des Moines, Sierra Grande",NM,OPEN,,,113.25,SW,,35,15638,36.76110077,-103.83399963,147.175,147.775,141.3,,Union,,On-Air,,NMEMA ARC,,,,,,,NMFCC,2017-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,CC 88.5,W0PHC,"Pueblo, 12 Mile Hill",CO,OPEN,,D,113.65,W,,08,194,38.20700073,-104.70700073,146.88,146.28,88.5,,Pueblo,DM78pe,On-Air,Wide area.,Pueblo Amateur Radio Club,E-power.,,,,,http://www.puebloradio.org/,CCARC,2019-12-10,,yes,0,,c Record retrieved from radioid.net,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,,113.96,SSE,,40,4419,36.67580032,-101.54699707,444.975,449.975,88.5,,Texas,DM96FQ,On-Air,30,DBARC,Linked.,,,,,http://caprockintertie.org/,ORSI,2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,,115.44,SSE,,40,4418,36.68280029,-101.48200226,147.15,147.75,88.5,,Texas,,On-Air,,DBARC,"Linked, WX.",Full-time to the Caprock Intertie System .,,,,http://caprockintertie.org/,ORSI,2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
