Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Affiliate,Links,Coordination,Last update,On-air,Features,Coverage,Nets,Web links,Notes,EchoLink,DMR Enabled,Color Code,Wide Network,Grid,IRLP,AllStar,Commands,Talkgroup Network,Talkgroups,Wyoming,WyLOCAL,YSF Digital Enabled,DG-ID,Mixed-Mode,Southern Colorado,Central Regional,Northern Colorado Regional,D-STAR Enabled,Node,Sources,Worldwide,North America,English,Local/Cluster,Mountain Reg USA,Local Network,Rocky Mountain Wide,Feed,Worldwide English,DCI Bridge,Colorado,N. Colorado,TAC 310,P-25 Digital Enabled,NAC,Default Reflector,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Bandwidth,WIRES-X,Devilshead Local,Location Photo,Eastern Colorado,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,TAC 311,Colorado Chat
147.39,0.6,107.2,K0SNO,"Carbondale, Four Mile Ridge",CO,OPEN,,,78,S,,08,259,39.4,-107.315,147.39,147.99,107.2,,Garfield,On-Air,Roaring Fork Amateur Repeater Cooperative,,,,2016-07-14,,,"Rifle, Carbondale, El Jebel, Glenwood Springs, Basalt and Aspen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,107.2,WA4HND,"Parachute, Mount Callahan",CO,OPEN,,,78.2,SSW,,08,253,39.4519,-108.052,449.8,444.8,107.2,,Garfield,On-Air,,,,CCARC,2018-01-15,,8,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,,79,SSE,Node Offline,08,6009,39.4247,-107.097,447.15,442.15,136.5,,Garfield,On-Air,,,,,2011-08-01,,,,,,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.345,0.6,88.5,KB0VJJ,Vail,CO,OPEN,,,82.7,SE,,08,241,39.6554,-106.457,147.345,147.945,88.5,123,Eagle,On-Air,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,2017-01-06,,9,Wide area: Vail Pass to Glenwood Canyon and the Flattops Wilderness to Tennessee Pass.  Map,"Central Colorado Traffic Net: Daily at 19:3030 
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES net: Sun at 20:00.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC7,N0SZ,Vail,CO,OPEN,,D,84.1,SE,,08,16781,39.6348,-106.447,445.075,440.075,,,Eagle,On-Air,K2AD,Rocky Mountain Ham Radio,,CCARC,2018-02-01,,,,,http://www.rmham.org/,,,yes,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,,84.9,W,Node Offline,49,163,40.3572,-109.147,147.1,147.7,136.5,,Uintah,On-Air,""">Borderline ARC",,"Full-time to  
147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .",UVHFS,2017-06-29,,"Autopatch, e-power.","Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,458414,,,,,3577,,"IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,,,84.9,W,,49,182,40.3564,-109.146,449.7,444.7,136.5,,Uintah,,W7BYU,,,UVHFS,,Unknown,8,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,,85,W,Node Offline,49,281,40.355,-109.148,146.92,146.32,136.5,,Duchesne,Off-Air,,,,UVHFS,2017-06-29,,E-power.,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,458695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.8,-1.6,,N0AFO,Vail,CO,OPEN,,,86.6,SE,,08,242,39.6403,-106.374,224.8,223.2,,,Eagle,Off-Air,ECHO,,,CCARC,2018-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,107.2,N0AFO,Vail,CO,OPEN,,,86.6,SE,,08,243,39.6403,-106.374,449.9,444.9,107.2,107.2,Eagle,Off-Air,ECHO,,,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,107.2,K0RV,"Vail, Bald Mountain",CO,OPEN,,,88.9,SE,,08,256,39.6061,-106.356,146.61,146.01,107.2,,Eagle,On-Air,ECHO,,,CCARC,2012-11-10,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,100,KC7OZU,Rawlins,WY,OPEN,,,89.6,N,,56,43,41.7911,-107.238,146.76,146.16,100,,Carbon,On-Air,CCARS,,,,2017-10-06,,,Wide area.,Sunday nite net 2030 local time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.39,0.6,100,KD7BN,Rawlins,WY,OPEN,,,89.6,N,,56,55,41.7911,-107.238,147.39,147.99,100,,Carbon,On-Air,HERC,N7ZEF (EchoLink).,"Full-time to  
146.80500 (W7BEQ) at Shoshoni, Copper Mtn, WY .
 
Full-time to  
146.94000 (W7VNJ) at Casper, Casper Mountain, WY .",,2017-01-04,,E-power.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.3,-5,100,KD7SU,Rawlins,WY,OPEN,,,89.6,N,,56,15548,41.7911,-107.239,448.3,443.3,100,,Carbon,,,,,WRCG,2017-01-04,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,162.2,N7RON,Rawlins,WY,OPEN,I,,89.6,N,,56,5791,41.7911,-107.239,146.7,146.1,162.2,,Carbon,On-Air,,,,WRCG,2017-01-04,,,,,,,,,,,,7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,146.2,N7RON,Rawlins,WY,OPEN,,,89.6,N,,56,15551,41.7911,-107.239,449.8,444.8,146.2,,Carbon,,Wyocomm,,,WRCG,2017-01-04,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.05,-5,CC11,WY7EOC,Rawlins,WY,CLOSED,,D,89.6,N,,56,13858,41.7911,-107.239,445.05,440.05,,,Carbon,On-Air,Laramie County EM,Wyoming DMR Project,,WRCG,2017-01-04,,,Wide area.,,,,,yes,11,,,,,,Wyoming DMR Project,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Wyoming  1  3156  Full-Time    WyLOCAL  2  100  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.875,-5,CC,K7PFJ,"Granby, Mt Chauncey",CO,OPEN,,D,89.7,SE,,08,15899,40.0861,-105.939,446.875,441.875,,,Clear Creek,On-Air,,RMHAM,,,2017-03-11,,,,,http://www.rmham.org,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,123,KA0YDW,Granby,CO,OPEN,,,89.7,SE,,08,145,40.0861,-105.939,146.82,146.22,123,,Grand,,GCARA,,,CCARC,2014-09-06,Unknown,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.5,-5,107.2,KB0SW,Collbran,CO,OPEN,,,90.8,SSW,,08,36,39.2406,-107.961,449.5,444.5,107.2,,Mesa,Off-Air,Grand Mesa Repeater Association (GMRA),,,CCARC,2016-07-01,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.015,0.6,146.2,N7UW,"Laramie, Jelm Mountain",WY,OPEN,E,Y,91.4,E,Node Offline,56,15436,41.0972,-105.977,147.015,147.615,146.2,,Albany,On-Air,"Albany County ARES/RACES, University Amateur Radio",,,,2017-02-24,,,Albany County,,http://www.uwyo.edu/uarc/,,82070,,,,,,,,,,,,yes,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,100,N7GCR,"Rawlins, Elk Mountain",WY,OPEN,,,93.8,NE,,56,29,41.6333,-106.526,147.24,147.84,100,,Carbon,On-Air,CCARS,,,WRCG,2017-01-04,,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,,,95.6,SSE,,08,211,39.2131,-106.937,146.67,146.07,107.2,,Pitkin,On-Air,Ski Country ARC,,,CCARC,2012-11-10,,Linked.,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,-5,107.2,KB0SW,"Loma, Baxter Pass",CO,OPEN,,,98.4,SW,,08,174,39.5819,-108.952,447,442,107.2,,Garfield,On-Air,,,,CCARC,2018-01-15,,8,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,,,100,SSE,,08,260,39.1761,-106.829,447.05,442.05,136.5,136.5,Pitkin,On-Air,Roaring Fork Amateur Repeater Cooperative,,,CCARC,2012-11-10,,,Aspen-Snowmass areas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.45,-5,103.5,WA4CCC,Winter Park,CO,OPEN,,,100.3,SE,,08,3756,39.9473,-105.795,447.45,442.45,103.5,,Grand,On-Air,W0IG,,,CCARC,2013-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,,100.6,WSW,,49,13408,40.1069,-109.378,449.9,444.9,136.5,,Uintah,,Borderline Amateur Radio Club,,,,2015-07-04,Unknown,,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,7705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.355,-0.6,88.5,KB0VJJ,"Grand Junction, Grand Mesa",CO,OPEN,,,102.2,SSW,,08,149,39.0667,-107.936,145.355,144.755,88.5,123,Mesa,On-Air,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,2017-01-06,,E-power.,"Rifle to the east, several miles east of Green River, Utah to the west.","Central Colorado Traffic Net: Daily at 19:30. 
Colorado Connection Net (all welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",,Colorado Connection system of repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,151.4,KB0YNA,"Grand Junction, Grand Mesa",CO,OPEN,I,,102.2,SSW,,08,8763,39.0666,-107.937,449.65,444.65,151.4,151.4,Mesa,On-Air,Keri Washburn,,"Full-time to  
447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",CCARC,2016-10-28,,NWS weather alert system.,Wide area coverage,,,,,,,,,8162,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,136.5,W7BAR,"Vernal, Grizzly Ridge",UT,OPEN,,,102.8,W,,49,181,40.7396,-109.484,147.04,147.64,136.5,,Uintah,On-Air,Borderline ARC,,Full-time to the  Sinbad Desert (SDARC) System .,UVHFS,2015-03-09,,E-power.,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,136.5,K7HEN,"Vernal, Grizzly Ridge",UT,OPEN,,,103.1,W,,49,24,40.7517,-109.487,145.49,144.89,136.5,,Uintah,On-Air,"W7BYU,  Borderline ARC",,,UVHFS,2014-01-20,,"Autopatch, 8,506', linked to (147.320).","Vernal, Roosevelt, Duchesne and other Uintah basin communities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.6,-5,CC2,W1VAN,"Red Feather Lakes, Red Feather Lakes",CO,OPEN,,D,103.1,E,,08,17821,40.8076,-105.617,447.6,442.6,,,Larimer,On-Air,W1VAN,W0DMR,,,2019-05-11,,Brandmeister Network,Covers Red Feather Lakes Area,,http://www.w0dmr.org,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.285,0.6,88.5,KB0VJJ,"Winter Park, Winter Park",CO,OPEN,,,103.6,SE,,08,15582,39.8865,-105.763,147.285,147.885,88.5,123,Grand,On-Air,Colorado Connection,,Full-time to the  Colorado Connection System .,CCARC,2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,KE7UUJ,"Rock Springs, Aspen Mountain",WY,OPEN,,,103.6,NW,,56,10,41.4334,-109.116,146.94,146.34,100,,Sweetwater,On-Air,Sweetwater ARC,,,WRCG,2019-02-15,,,Wide area. 75 mi radius.,Sunday ARES/Races @ 7:30 PM,http://www.wy7u.org/,,,,,,DN51KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KE7FGD,"Rock Springs, Aspen Mountain",WY,OPEN,,,103.7,NW,,56,11,41.4338,-109.117,146.61,146.01,100,,Sweetwater,On-Air,SWARC Sweetwater Amateur Radio Club,,,WRCG,2019-02-15,,,Wide area: SW Wyoming,Sun at 19:30 on 146.940 TN 100 Hz,http://www.wy7u.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.9125,-5,CC1,W0BX,"Grand Junction, Grand Mesa",CO,OPEN,,D,105,SSW,,08,16721,39.0889,-108.227,446.9125,441.9125,,,Mesa,On-Air,Bill Frost,,,,2018-01-09,,,"Grand Junction, I70",,,Brandmeister network,,yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.8,-5,123,N0FH,Estes Park,CO,OPEN,EI,,106.9,ESE,Node Offline,08,120,40.3772,-105.521,449.8,444.8,123,,Larimer,On-Air,Estes Valley ARC,,"Full-time to  
146.68500 (N0FH) at Estes Park, CO .",CCARC,2017-08-05,,E-Power,,ARES D-10: Thu at 19:00.,,"Both Echolink and IRLP are open, IRLP connect is a four digit node number only and '73' to disconnect. Top of Hour time is announced from 0600 to 2200.",625757,,,,,7268,,"The EchoLink node connects to both machines. The node is open (no passwords; touch tone only the the ' * ' character followed by a four, five, or six digit node number where you wish to connect). The disconnect is ' # '.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,CC2,N0WAR,"Estes Park, Prospect Mtn",CO,OPEN,,D,107.1,ESE,,08,17813,40.3606,-105.52,147.24,147.84,,,Larimer,On-Air,N0WAR,W0DMR,,,2019-05-11,,Brandmeister Network,Wide Area: Estes Park &amp; Rocky Mtn Nat Park,,http://www.w0dmr.org,,,yes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,107.2,WB0QMR,Breckenridge,CO,OPEN,I,,107.1,SE,,08,23,39.4817,-106.038,146.7,146.1,107.2,,Summit,On-Air,GRARC,,,CCARC,2013-01-07,,E-power.,,,,,,,,,,3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.35,-5,107.2,,"Cedaredge, Grand Mesa",CO,OPEN,,,107.5,SSW,,08,3755,38.9944,-107.973,447.35,442.35,107.2,,Delta,,Grand Mesa Repeater Assoc (GMRA),,,CCARC,2012-11-10,Unknown,,,,GMRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.3,-5,107.2,WA4HND,"Grand Junction, Grand Mesa",CO,OPEN,I,,107.7,SSW,,08,154,39.0539,-108.254,449.3,444.3,107.2,107.2,Mesa,On-Air,,,,CCARC,2018-01-16,,e-power Linked to GMRA Open System,Wide Area I-70 West Rifle to Western Utah,RACES Wed 1930 hrs,http://www.gmra.org/,Closed IRLP out,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,107.2,W0RRZ,"Grand Junction, GJT",CO,OPEN,I,,109.6,SSW,,08,147,39.1173,-108.522,145.175,144.575,107.2,,Mesa,On-Air,,,,CCARC,2016-05-11,,"E-power,",Greater grand Junction area.,,,,,,,,,3161,,Standard IRLP node commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,156.7,N0ZSN,"Leadville, Quail Mountain",CO,OPEN,,,109.7,SE,,08,10827,39.2508,-106.293,147.24,147.84,156.7,156.7,Lake,Off-Air,,,,CCARC,2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
