Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,County,On-air,Coverage,Sponsor,Affiliate,Nets,Web links,Last update,Uplink Tone,Local Network,Op Status,Coordination,IRLP,Downlink Tone,Features,EchoLink,Notes,Links,YSF Digital Enabled,DG-ID,WIRES-X,AllStar,Talkgroups,Southern Colorado,Devilshead Local,Commands,Mixed-Mode,Grid,Feed,P-25 Digital Enabled,NAC,Default Reflector,Talkgroup Network,Rocky Mountain Wide,Central Regional,Northern Colorado Regional,Eastern Colorado,TAC 310,TAC 311,Colorado,Colorado Chat,Worldwide English,North America,DCI Bridge,Local/Cluster,N. Colorado,Location Photo,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Bandwidth,Worldwide,English,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Local or Reflector,Kansas,CKRG,KansasLink,Texas,COMM 1,Texas/Oklahoma Regional USA,Amarillo WIRES-X,BYRG,NORCAL 1,NORCAL 5150,UserActivated 1,UserActivated 2,CAL 1,Hytera USA,Parrott,Audio Test,Data,DMRX 1,Utah Statewide 2,USA,Utah,PA (PA-525),SNARS,All TG's Off,All TG's On,Local
449.425,-5,94.8,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,,68.66237965615133,WNW,,08,3630,40.5755,-105.285,449.425,444.425,,,,,,,Larimer,,,,,,,2018-02-25,94.8,,On-Air,,,,,,,"Full-time to  
927.87500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 
Full-time to  
927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.875,-25,D114,N0ZUQ,"Fort Collins, Christ Mountain",CO,OPEN,,,68.66237965615133,WNW,,08,3629,40.5755,-105.285,927.875,902.875,,,,,,,Larimer,,,WA6IMI,,,,2017-03-11,D114,,Off-Air,CCARC,,,,,Down due to lightning strike. Scheduled to return end of June 2012.,"Full-time to  
449.42500 (N0ZUQ) at Fort Collins, Christ Mountain, CO .
 
Full-time to  
927.72500 (WA6IFI) at Colorado Springs, Almagre Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,,7.904986831952039,WSW,,08,8199,39.7294,-104.832,448.275,443.275,,,,,,,Arapahoe,,,W0BG,,,,2013-01-05,156.7,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,Y,7.904986831952039,WSW,,08,16032,39.7294,-104.832,448.825,443.825,,,,,,,Arapahoe,,,,,,,2017-12-13,,,On-Air,,,,,,,,yes,Open ↑ / Open ↓,30584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,,7.928718013082306,WSW,,08,92,39.7294,-104.831,448.5,443.5,,,,,,,Denver,,Greater Denver area.,Castle Rock Repeater Group,,,,2017-03-11,100,,On-Air,CCARC,,,E-power.,,,"Full-time to  
145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.6,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,,8.461570116867007,WSW,,08,5,39.6073,-104.741,145.4,144.8,,,,,,,Arapahoe,,Greater Denver area.,Castle Rock Repeater Group,,,,2019-03-09,100,,On-Air,CCARC,,,"Autopatch, e-power.",,,"Full-time to  
448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,,31.80970553595646,WSW,,08,78,39.6794,-105.492,146.67,146.07,,,,,,,Clear Creek,,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",Castle Rock Repeater Group,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,2016-09-08,100,,On-Air,CCARC,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,,8.898146710371241,WSW,,08,10603,39.6197,-104.731,449.425,444.425,,,,,,,Arapahoe,,,K0PWO,,,,2017-05-28,D023,,Off-Air,,,D023,,,Colorado SNP (Shared non-protected pair),,,,,29791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,,8.942819684427409,WSW,,08,8196,39.7376,-104.985,447.925,442.925,,,,,,,Denver,,,RADOPS El Jebel Shriners,,,,2014-07-03,100,,On-Air,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.985,-0.6,100,K0FEZ,"Golden, Centennial Cone",CO,OPEN,I,,26.005450967171313,WSW,,08,82,39.7525,-105.359,146.985,146.385,,,,,,,Denver,,,El Jebel RADOPS,,RADOPS: Sun at 19:00.,,2016-09-05,100,,On-Air,CCARC,3346,100,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,,8.942819684427409,WSW,,08,8195,39.7376,-104.985,447.9,442.9,,,,,,,Denver,,,WB0TPT,,,,2017-03-11,CSQ,,Off-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,,9.010435903757338,WSW,,08,75,39.7392,-104.984,145.475,144.875,,,,,,,Jefferson,,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",Intermountain Repeater Group,,,Intermountain Repeater Group,2015-05-22,100,,On-Air,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.28,-0.6,100,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,26.005450967171313,WSW,,08,140,39.7525,-105.359,145.28,144.68,,,,,,,Jefferson,,Wide area.,,,Sun at 19:30. Everyone welcome.,Intermountain Repeater Group,2015-05-22,100,,On-Air,CCARC,,,"Closed autopatch, e-power, linked.",,"PL is usually off, allowing use by older transceivers.","Full-time to  
449.52500 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.525,-5,CSQ,KE0SJ,"Golden, Centennial Cone",CO,OPEN,,,26.005450967171313,WSW,,08,138,39.7525,-105.359,449.525,444.525,,,,,,,Jefferson,,,KE0SJ,,,Intermountain Repeater Group,2015-05-23,CSQ,,On-Air,CCARC,,,E-power.,,,"Full-time to  
145.28000 (KE0SJ) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.625,-5,100,KE0SJ,Lochbuie,CO,OPEN,,,27.99655708727869,W,,08,9771,40.0072,-104.716,447.625,442.625,,,,,,,Adams,,Local/North Metro,Intermountain Repeater Group,,,Intermountain Repeater Group,2015-05-23,100,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,,9.010435903757338,WSW,,08,79,39.7392,-104.984,146.715,146.115,,,,,,,Denver,,,EARS,,,,2017-04-09,123,,On-Air,CCARC,,123,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,,9.010435903757338,WSW,,08,91,39.7392,-104.984,448.075,443.075,,,,,,,Denver,,,W0IG,,,,2017-03-11,123,,On-Air,CCARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,,9.010435903757338,WSW,,08,93,39.7392,-104.984,448.55,443.55,,,,,,,Denver,,,HPRA,,,,2017-03-11,82.5,,Off-Air,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,,9.74171671901255,WSW,,08,8189,39.4942,-104.836,447.525,442.525,,,,,,,Douglas,,"Denver metropolitan area, front range foothills",EmComm Colorado,Colorado ARES,,,2017-03-11,203.5,,On-Air,CCARC,,146.2,,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.925,-5,CC8,N0ESQ,"Castle Rock, Devils Head",CO,OPEN,,D,27.544435013617413,WSW,,08,7193,39.2648,-105.114,446.925,441.925,,,,yes,8,,Douglas,,,,,,Rocky Mountain Ham Radio,2018-12-23,,,On-Air,CCARC,,,,,See the website for programming info.,Full-time to the  Colorado TRBO System .,,,,,"Open Talkgroup View 
 
  
  
 Assignment 
 TS 
 TG 
 Access 
 
  Southern Colorado  1  719      Devilshead Local  2  711    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,146.2,N0ESQ,"Castle Rock, Devils Head (Pike National Forest)",CO,OPEN,,,27.544435013617413,WSW,,08,8190,39.2648,-105.114,447.525,442.525,,,,,,,Douglas,,"Denver metro north to the Wyoming border. Back country including Bailey, Deckers, Woodland Park. Severe null due east due to Devils Head Peak.",EmComm Colorado,Colorado ARES,,,2015-06-17,146.2,,On-Air,CCARC,,146.2,,,"This is not a ragchew machine. Traffic is limited to ARES, RACES and EmComm administrative, exercise, public service and disaster response.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,,10.052446596013882,WSW,ON        - IDLE,08,12216,39.7552,-104.987,447.175,442.175,,,,,,,Denver,,,W0JRL,,,,2015-05-15,100,,On-Air,CCARC,,100,,201712,,,,,,29997,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.95,-5,77,W9SL,"Castle Pines, Daniels Park",CO,OPEN,,,10.71483069673838,WSW,,08,8743,39.4718,-104.895,449.95,444.95,,,,,,,Douglas,,Primarily to the North along I-25 corridor,W9SL Owner,,,,2017-01-22,77,,On-Air,CCARC,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,,13.12012596311173,WSW,,08,8204,39.7046,-105.123,448.75,443.75,,,,,,,Jefferson,,Local.,,N0ELY,,,2012-11-16,100,,On-Air,CCARC,,100,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,13.585287668577632,WSW,,08,85,39.6822,-105.143,147.33,147.93,,,,,,,Jefferson,,Metro Denver and the foothills.,Denver Radio Club,,SATERN: Thu at 19:30.,DRC Repeaters,2017-03-31,100,,On-Air,CCARC,,,E-power.,,Not recommeded to use tone squelch on this repeater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,13.585287668577632,WSW,,08,267,39.6822,-105.143,224.38,222.78,,,,,,,Jefferson,,,Denver Radio Club,,,DRC Repeaters,2017-03-11,100,,On-Air,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,Y,13.585287668577632,WSW,,08,8215,39.6822,-105.143,449.775,444.775,,,,,,,Jefferson,,Metro Denver,Denver Radio Club,,,Denver Radio Club,2015-06-02,100,,On-Air,CCARC,,100,,,,,yes,Open ↑ / Open ↓,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,,13.79913895277512,WSW,,08,5805,39.7162,-105.13,447.825,442.825,,,,,,,Jefferson,,,Denver Radio Club,,,,2017-03-11,D073,,On-Air,CCARC,,D073,,,"Now operating in Narrow Band mode with Digital Code Squelch.
Please reset your programing to use:
12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,,15.74763770098256,WSW,,08,105,39.7008,-105.178,53.09,51.39,,,,,,,Jefferson,,Metro Denver area.,Denver Radio Club,,,DRC Repeaters,2017-03-11,107.2,,On-Air,CCARC,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.625,-5,100,W0TX,"Golden, Centennial Cone",CO,OPEN,,,25.95533857392369,WSW,,08,112,39.7525,-105.358,448.625,443.625,,,,,,,Jefferson,,Denver metro area.,Denver Radio Club,,DRC: Sun at 20:30.,DRC Repeaters,2017-03-11,100,,On-Air,CCARC,,100,E-power.,,,"Full-time to  
145.49000 (W0TX) at Idaho Springs, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7875,-5,CC1,W0TX,"Denver, Centennial Cone",CO,OPEN,,D,26.668642782265454,WSW,,08,7165,39.7657,-105.366,446.7875,441.7875,,,,yes,1,,Jefferson,,,Denver Radio Club,Brandmeister Network,,http://www.w0tx.org/,2017-12-09,,,On-Air,CCARC,,,,,,,,,,,,,,"Any Brandmeister talk group is available on time slot 1, too many to list here, see website. https://dmrx.net/files/US_BM_User_Guide.pdf. TG's are PTT enabled and will timeout after 15 minutes of inactivity. Time Slot 2 Talk Group 310805 is local repeater only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,,31.80970553595646,WSW,,08,76,39.6794,-105.492,145.49,144.89,,,,,,,Jefferson,,,"KB0VIU,  Denver Radio Club",,DRC: Sun at 20:30.,DRC Repeaters,2017-03-11,100,,On-Air,CCARC,,100,E-power.,,,"Full-time to  
448.62500 (W0TX) at Golden, Centennial Cone, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,,31.80970553595646,WSW,Node Offline,08,98,39.6794,-105.492,449.35,444.35,,,,,,,Clear Creek,,Wide area.,Denver Radio Club,,,DRC Repeaters,2017-03-11,100,,On-Air,CCARC,,100,11,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,141.3,K0GUR,"Denver, Green Valley Ranch",CO,OPEN,EA,,14.185053533411715,WSW,Node Offline,08,9765,39.7967,-104.748,448.15,443.15,,,,,,,Denver,,"Small coverage of the East Denver area SW of DIA. 
 Repeater Coverage Map",K0GUR,,"APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00. 
Region 5 District 1 ARES Net: Mon at 19:00. 
RGARC Net: Wed at 19:00.",k0jsc.com,2017-01-13,141.3,,On-Air,CCARC,,141.3,E-power (batt). 2 meter and 70cm channel steerable remote bases.,24340,Can be linked to various local repeater systems via the remote base(s). Echolink connects restricted. Email me to be added to the authorized list.  The system may be occupied in the Southern Colorado area for a formal net or ARES activity.,Full-time to the  The Fun Machine System .,,,,29436,,,,,,DM79pt,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,I,,14.702673346416425,WSW,,08,9775,39.7505,-105.123,147.21,147.81,,,,,,,Jefferson,,,Denver Water Amateur Radio Club,,,http://www.dwarc.com,2018-10-07,100,,On-Air,,3241,100,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.35,-5,225.7,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,Y,14.706681856536163,WSW,,08,17349,39.7506,-105.123,448.35,443.35,,,,,,,Jefferson,,Denver Metro and surrounding,Denver Water Amateur Radio Club (DWARC),,,http://www.DWARC.com,2018-10-02,,,On-Air,CCARC,,,,,,,yes,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,,,14.899177869750732,WSW,,08,80,39.5042,-105.128,146.88,146.28,,,,,,,Jefferson,,Wide Area,Denver Radio League,,,DRL Repeaters,2018-05-21,100,,On-Air,CCARC,,,E-power.,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,100,WB0TUB,"Centennial, Warren Mountain",CO,OPEN,EI,,14.899177869750732,WSW,Node Offline,08,273,39.5042,-105.128,449.6,444.6,,,,,,,Jefferson,,,Denver Radio League,,,DRL Repeaters,2014-03-04,100,,On-Air,CCARC,3345,,,690473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,WB0TUB,"Golden, Centennial Cone",CO,OPEN,,,26.005450967171313,WSW,,08,77,39.7525,-105.359,146.64,146.04,,,,,,,Jefferson,,"Wide area. 
 Repeater Coverage Map",Denver Radio League,,,DRL Repeaters,2017-03-11,100,,On-Air,CCARC,,,E-power.,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445.075,-5,CC1,K0PRA,Parker,CO,OPEN,,D,16.085578411067353,WSW,,08,17292,39.4491,-104.703,445.075,440.075,,,,yes,1,,Douglas,,,Parker Radio Association,,Mondays 20:30 MST,http://www.parkerradio.org,2018-09-10,,,On-Air,CCARC,,,Brandmeister Network https://brandmeister.network/?page=repeater&amp;id=310844,,Mixed Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
